Familia,Geracao,Obtivel,Especie_encontrada,Local,Detalhe
Skrelp,6,Sim,Skrelp,Whirl Islands 1 F,Fishing Mons (Lv 20)
Clauncher,6,Sim,Clauncher,Tohjo Falls Cavern,Water Mons (Lv 20-35) [Day]
Helioptile,6,Sim,Helioptile,Route 39,Land Mons (Lv 19-26)
Tyrunt,6,Sim,Tyrunt,Ruins of Alph Lab,Revived from Jaw Fossil; fossil found via Rock Smash in Ruins of Alph (Lv 20)
Amaura,6,Sim,Amaura,Ruins of Alph Lab,Revived from Sail Fossil; fossil found via Rock Smash in Ruins of Alph (Lv 20)
Hawlucha,6,Sim,Hawlucha,Union Cave B2 F,Land Mons (Lv 20-23)
Dedenne,6,Sim,Dedenne,Railway Cave,Land Mons (Lv 26-29)
Carbink,6,Sim,Carbink,Union Cave B2 F,Land Mons (Lv 20-23)
Goomy,6,Sim,Goomy,Route 34,One-time Odd Egg (1/7 chance) (Lv 1)
Klefki,6,Sim,Klefki,Kitakami Border,Land Mons (Lv 42-48)
Phantump,6,Sim,Phantump,Lost Woods,Land Mons (Lv 28-35)
Pumpkaboo,6,Sim,Pumpkaboo,Burned Tower B1 F,Land Mons (Lv 19-23)
Bergmite,6,Sim,Bergmite,Snowtop Mountain Outside,Land Mons (Lv 26-29)
Noibat,6,Sim,Noibat,Slowpoke Well B1 F,Land Mons (Lv 9-13)
Xerneas,6,Nao,,,
Yveltal,6,Nao,,,
Zygarde,6,Nao,,,
Diancie,6,Sim,Diancie,Battle Cafe,Gift (Lv 70)
Hoopa,6,Sim,Hoopa,Vajra Pyramid Final Chamber,Legendary encounter (Lv 80)
Volcanion,6,Nao,,,
Rowlet,7,Sim,Rowlet,Goldenrod Gachapon (Master Gachapon),Gachapon
Litten,7,Sim,Litten,Goldenrod Gachapon (Master Gachapon),Gachapon
Popplio,7,Sim,Popplio,Goldenrod Gachapon (Master Gachapon),Gachapon
Pikipek,7,Sim,Pikipek,Route 35,Land Mons (Lv 16-20)
Yungoos,7,Sim,Yungoos,Route 38,Land Mons (Lv 20-25)
Grubbin,7,Sim,Grubbin,Ilex Forest,Land Mons (Lv 12-15)
Crabrawler,7,Sim,Crabrawler,Route 40,Rock Smash Mons (Lv 20-25)
Oricorio,7,Sim,Oricorio,Route 47,Land Mons (Lv 33-50)
Cutiefly,7,Sim,Cutiefly,Route 32,Land Mons (Lv 7-12)
Rockruff,7,Sim,Rockruff,Route 33,Land Mons (Lv 11-14)
Wishiwashi,7,Sim,Wishiwashi,Route 41,Water Mons (Lv 20-30)
Mareanie,7,Sim,Mareanie,Route 33,Water Mons (Lv 30-35)
Mudbray,7,Sim,Mudbray,Union Cave 1 F,Land Mons (Lv 9-13)
Dewpider,7,Sim,Dewpider,Whirl Islands 1 F,Fishing Mons (Lv 20)
Fomantis,7,Sim,Fomantis,Route 37,Land Mons (Lv 18-21)
Morelull,7,Sim,Morelull,Route 48,Land Mons (Lv 30-34)
Salandit,7,Sim,Salandit,Burned Tower B1 F,Land Mons (Lv 18-22)
Stufful,7,Sim,Stufful,Route 39,Land Mons (Lv 21-24)
Bounsweet,7,Sim,Bounsweet,Kitakami Border,Land Mons (Lv 42-48)
Comfey,7,Sim,Comfey,Route 42,Land Mons (Lv 22-26)
Oranguru,7,Sim,Oranguru,Vajra Pyramid Floor 1,Land Mons (Lv 58-60)
Passimian,7,Sim,Passimian,Route 43,Land Mons (Lv 25-27)
Wimpod,7,Sim,Wimpod,Route 35,Water Mons (Lv 15-24)
Sandygast,7,Sim,Sandygast,Nameless Cave 1 F,Land Mons (Lv 58-69)
Pyukumuku,7,Sim,Pyukumuku,Route 40,Water Mons (Lv 21-25)
Type: Null,7,Nao,,,
Minior,7,Sim,Minior,Mt Mortar Depths 1,Land Mons (Lv 45-50)
Komala,7,Sim,Komala,Route 45,Land Mons (Lv 40-45)
Turtonator,7,Sim,Turtonator,Mt Mortar Depths 1,Land Mons (Lv 43-50)
Togedemaru,7,Sim,Togedemaru,Railway Cave,Land Mons (Lv 25-29)
Mimikyu,7,Sim,Mimikyu,Tin Tower 3 F,Land Mons (Lv 40-45)
Bruxish,7,Sim,Bruxish,Whirl Islands B1 F,Water Mons (Lv 33-40)
Drampa,7,Sim,Drampa,Mt Mortar 2 F,Land Mons (Lv 30-33)
Dhelmise,7,Sim,Dhelmise,Whirl Islands Descent,Land Mons (Lv 40-45)
Jangmo-o,7,Sim,Jangmo-o,Dragon's Den Cavern,Land Mons (Lv 42-45) [Day]
Tapu Koko,7,Sim,Tapu Koko,Battle Cafe,Gift (indirect/selectable)
Tapu Lele,7,Sim,Tapu Lele,Battle Cafe,Gift (indirect/selectable)
Tapu Bulu,7,Sim,Tapu Bulu,Battle Cafe,Gift (indirect/selectable)
Tapu Fini,7,Sim,Tapu Fini,Battle Cafe,Gift (indirect/selectable)
Cosmog,7,Nao,,,
Nihilego,7,Nao,,,
Buzzwole,7,Nao,,,
Pheromosa,7,Nao,,,
Xurkitree,7,Nao,,,
Celesteela,7,Nao,,,
Kartana,7,Nao,,,
Guzzlord,7,Nao,,,
Necrozma,7,Nao,,,
Magearna,7,Sim,Magearna,Goldenrod Apartment,Legendary encounter (Lv 75)
Marshadow,7,Sim,Marshadow,Sprout Tower Basement,Legendary encounter (Lv 50)
Poipole,7,Sim,Poipole,Route 40 Achievement reward (45 trophies),Gift (Lv 5)
Stakataka,7,Nao,,,
Blacephalon,7,Nao,,,
Zeraora,7,Sim,Zeraora,Battle Tower,Legendary encounter (Lv 80)
Meltan,7,Sim,Meltan,Rinto Village,In-game trade (requires Tinkaton)
Grookey,8,Sim,Grookey,Goldenrod Gachapon (Master Gachapon),Gachapon
Scorbunny,8,Sim,Scorbunny,Goldenrod Gachapon (Master Gachapon),Gachapon
Sobble,8,Sim,Sobble,Goldenrod Gachapon (Master Gachapon),Gachapon
Skwovet,8,Sim,Skwovet,Route 47,Land Mons (Lv 33-50)
Rookidee,8,Sim,Rookidee,Route 35,Hidden Grotto (Lv 18)
Blipbug,8,Sim,Blipbug,Route 30,Land Mons (Lv 3-5)
Nickit,8,Sim,Nickit,Route 48,Land Mons (Lv 30-34)
Gossifleur,8,Sim,Gossifleur,Route 31,Land Mons (Lv 5-6)
Wooloo,8,Sim,Wooloo,Route 49,Land Mons (Lv 24-26)
Chewtle,8,Sim,Chewtle,Whirl Islands Descent,Water Mons (Lv 33-41)
Yamper,8,Sim,Yamper,Railway Cave 2 F,Land Mons (Lv 26-29)
Rolycoly,8,Sim,Rolycoly,Union Cave B1 F,Land Mons (Lv 10-13)
Applin,8,Sim,Applin,Dragon's Den Cavern,Land Mons (Lv 42-45) [Day]
Silicobra,8,Sim,Silicobra,Slowpoke Well B2 F,Land Mons (Lv 10-14)
Cramorant,8,Sim,Cramorant,Route 34,Water Mons (Lv 20-24)
Arrokuda,8,Sim,Arrokuda,South Johto Sea,Water Mons (Lv 30-35)
Toxel,8,Sim,Toxel,Railway Cave 2 F,Land Mons (Lv 25-28)
Sizzlipede,8,Sim,Sizzlipede,Route 43,Land Mons (Lv 25-28)
Clobbopus,8,Sim,Clobbopus,Route 50,Land Mons (Lv 50-55)
Sinistea,8,Sim,Sinistea,Kitakami Border,Land Mons (Lv 42-48)
Hatenna,8,Sim,Hatenna,Sprout Tower 2 F,Land Mons (Lv 3-7)
Impidimp,8,Sim,Impidimp,Route 42,Land Mons (Lv 20-25)
Milcery,8,Sim,Milcery,Route 29,Land Mons (Lv 2-3)
Falinks,8,Sim,Falinks,Tin Tower 3 F,Land Mons (Lv 40-45)
Pincurchin,8,Sim,Pincurchin,Railway Cave 3 F,Land Mons (Lv 25-29)
Snom,8,Sim,Snom,Ice Path B2 F,Land Mons (Lv 31-40) [Night]
Stonjourner,8,Sim,Stonjourner,Union Cave B2 F,Land Mons (Lv 25)
Eiscue,8,Sim,Eiscue,Ice Path B4 F,Land Mons (Lv 34-41) [Night]
Indeedee,8,Sim,Indeedee,Lake of Rage,Land Mons (Lv 27-30)
Morpeko,8,Sim,Morpeko,Railway Cave,Land Mons (Lv 25-28)
Cufant,8,Sim,Cufant,Route 38,Land Mons (Lv 20-25)
Dracozolt,8,Sim,Dracozolt,Route 43,Land Mons (Lv 25-28)
Arctozolt,8,Sim,Arctozolt,Snowtop Mountain Outside,Land Mons (Lv 27-29)
Dracovish,8,Sim,Dracovish,Olivine City,Water Mons (Lv 22-26)
Arctovish,8,Sim,Arctovish,Cianwood City,Water Mons (Lv 21-25)
Duraludon,8,Sim,Duraludon,Victory Road B2 F,Land Mons (Lv 51-58)
Dreepy,8,Sim,Dreepy,Dragon's Den Cavern,Land Mons (Lv 42-45) [Day]
Zacian,8,Nao,,,
Zamazenta,8,Nao,,,
Eternatus,8,Nao,,,
Kubfu,8,Sim,Kubfu,Blackthorn Cave,Gift (Lv 5)
Zarude,8,Sim,Zarude,Route 40 Achievement reward (75 trophies),Gift (Lv 50)
Regieleki,8,Nao,,,
Regidrago,8,Nao,,,
Glastrier,8,Nao,,,
Spectrier,8,Nao,,,
Calyrex,8,Nao,,,
Enamorus,8,Sim,Enamorus,Battle Cafe,Gift (indirect/selectable)
Sprigatito,9,Sim,Sprigatito,Goldenrod Gachapon (Master Gachapon),Gachapon
Fuecoco,9,Sim,Fuecoco,Goldenrod Gachapon (Master Gachapon),Gachapon
Quaxly,9,Sim,Quaxly,Victory Road B1 F,Fishing Mons (Lv 5)
Lechonk,9,Sim,Lechonk,Route 46,Land Mons (Lv 2-3)
Tarountula,9,Sim,Tarountula,Ilex Forest,Land Mons (Lv 12-16)
Nymble,9,Sim,Nymble,National Park Normal,Land Mons (Lv 14-15)
Pawmi,9,Sim,Pawmi,Route 44,Land Mons (Lv 32-40)
Tandemaus,9,Sim,Tandemaus,Route 35,Land Mons (Lv 14-18)
Fidough,9,Sim,Fidough,Route 32,Land Mons (Lv 7-12)
Smoliv,9,Sim,Smoliv,Route 36,Land Mons (Lv 7-8) [Night]
Squawkabilly,9,Sim,Squawkabilly,Route 33,Land Mons (Lv 11-14)
Nacli,9,Sim,Nacli,Dark Cave South Side,Land Mons (Lv 3-6)
Charcadet,9,Sim,Charcadet,Burned Tower 1 F,Land Mons (Lv 19-22)
Tadbulb,9,Sim,Tadbulb,Railway Cave,Land Mons (Lv 25-28)
Wattrel,9,Sim,Wattrel,Route 36,Land Mons (Lv 6-8) [Day]
Maschiff,9,Sim,Maschiff,Route 34,Land Mons (Lv 14-16)
Shroodle,9,Sim,Shroodle,Route 35,Land Mons (Lv 15-17)
Bramblin,9,Sim,Bramblin,Sprout Tower 3 F,Land Mons (Lv 3-8)
Toedscool,9,Sim,Toedscool,Cliff Edge Cave,Land Mons (Lv 23-26)
Klawf,9,Sim,Klawf,Mt Mortar B1 F,Land Mons (Lv 22-28)
Capsakid,9,Sim,Scovillain,Route 27,Land Mons (Lv 45-55)
Rellor,9,Sim,Rellor,Route 37,Land Mons (Lv 18-21)
Flittle,9,Sim,Espathra,Kitakami Border,Land Mons (Lv 42-48)
Tinkatink,9,Sim,Tinkatink,Union Cave 1 F,Land Mons (Lv 9-13)
Wiglett,9,Sim,Wiglett,Route 50 Underwater,Water Mons (Lv 45-55)
Bombirdier,9,Sim,Bombirdier,Route 38,Land Mons (Lv 19-26)
Finizen,9,Sim,Finizen,Route 33,Water Mons (Lv 30-35)
Varoom,9,Sim,Varoom,Railway Cave 2 F,Land Mons (Lv 26-29)
Cyclizar,9,Sim,Cyclizar,Kitakami Border,Land Mons (Lv 42-48)
Orthworm,9,Sim,Orthworm,Railway Cave 3 F,Land Mons (Lv 25-28)
Glimmet,9,Sim,Glimmet,Mt Mortar B1 F,Land Mons (Lv 20-27)
Greavard,9,Sim,Greavard,Burned Tower B1 F,Land Mons (Lv 19-21)
Flamigo,9,Sim,Flamigo,Route 48,Land Mons (Lv 30-34)
Cetoddle,9,Sim,Cetoddle,Snowtop Mountain,Land Mons (Lv 27-30)
Veluza,9,Sim,Veluza,Route 40,Water Mons (Lv 21-25)
Dondozo,9,Sim,Dondozo,Whirl Islands B1 F,Water Mons (Lv 33-41)
Tatsugiri,9,Sim,Tatsugiri,Route 35,Fishing Mons (Lv 10)
Great Tusk,9,Sim,Great Tusk,Meteor Island,Land Mons (Lv 56-59)
Scream Tail,9,Sim,Scream Tail,Meteor Island,Land Mons (Lv 56-59)
Brute Bonnet,9,Sim,Brute Bonnet,Meteor Island,Land Mons (Lv 56-59)
Flutter Mane,9,Sim,Flutter Mane,Meteor Island,Legendary encounter (Lv 70)
Slither Wing,9,Sim,Slither Wing,Meteor Island,Land Mons (Lv 57-60)
Sandy Shocks,9,Sim,Sandy Shocks,Meteor Island,Land Mons (Lv 56-59)
Iron Treads,9,Sim,Iron Treads,Meteor Island,Land Mons (Lv 56-59)
Iron Bundle,9,Sim,Iron Bundle,Meteor Island,Land Mons (Lv 56-59)
Iron Hands,9,Sim,Iron Hands,Meteor Island,Land Mons (Lv 56-59)
Iron Jugulis,9,Sim,Iron Jugulis,Meteor Island,Land Mons (Lv 56-59)
Iron Moth,9,Sim,Iron Moth,Meteor Island,Land Mons (Lv 57-60)
Iron Thorns,9,Sim,Iron Thorns,Meteor Island,Land Mons (Lv 57-60)
Frigibax,9,Sim,Frigibax,Snowtop Mountain B1 F,Land Mons (Lv 27-31)
Gimmighoul,9,Sim,Gimmighoul,Cianwood House 3,Gift (Lv 30)
Wo-Chien,9,Nao,,,
Chien-Pao,9,Sim,Chien-Pao,Ice Path Depths 2,Legendary encounter (Lv 70)
Ting-Lu,9,Nao,,,
Chi-Yu,9,Nao,,,
Roaring Moon,9,Sim,Roaring Moon,Meteor Island,Land Mons (Lv 57-60)
Iron Valiant,9,Sim,Iron Valiant,Meteor Island,Legendary encounter (Lv 70)
Koraidon,9,Sim,Koraidon,Battle Cafe,Gift (indirect/selectable)
Miraidon,9,Sim,Miraidon,Battle Cafe,Gift (indirect/selectable)
Walking Wake,9,Sim,Walking Wake,Meteor Island,Legendary encounter (Lv 75)
Iron Leaves,9,Sim,Iron Leaves,Meteor Cave 2 Legendary Room,Legendary encounter (Lv 75)
Poltchageist,9,Sim,Poltchageist,Route 35,Hidden Grotto (Lv 18)
Sinistcha,9,Sim,Poltchageist,Route 35,Hidden Grotto (Lv 18)
Okidogi,9,Nao,,,
Munkidori,9,Nao,,,
Fezandipiti,9,Sim,Fezandipiti,Kitakami Well B1 F,Legendary encounter (Lv 55)
Ogerpon,9,Sim,Ogerpon,Kitakami Mountain Enclave,Legendary encounter (Lv 55)
Gouging Fire,9,Sim,Gouging Fire,Meteor Island,Legendary encounter (Lv 75)
Raging Bolt,9,Sim,Raging Bolt,Meteor Island,Legendary encounter (Lv 75)
Iron Boulder,9,Sim,Iron Boulder,Meteor Cave 2 Legendary Room,Legendary encounter (Lv 75)
Iron Crown,9,Sim,Iron Crown,Meteor Cave 2 Legendary Room,Legendary encounter (Lv 75)
Terapagos,9,Nao,,,
Pecharunt,9,Nao,,,
