valor,dec,nome,bloco,status,leituras,escritas,arquivos,mapas,escopo,comentario
0x1CB,459,FLAG_MET_SCOTT_AFTER_OBTAINING_STONE_BADGE,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x1CC,460,FLAG_MET_SCOTT_IN_VERDANTURF,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x1CD,461,FLAG_MET_SCOTT_IN_FALLARBOR,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x1CE,462,FLAG_MET_SCOTT_IN_LILYCOVE,SCRIPT/EVENT,EM_USO,1,1,1,LilycoveCity_CoveLilyMotel_2F,MAPA_UNICO:LilycoveCity_CoveLilyMotel_2F,
0x1CF,463,FLAG_MET_SCOTT_IN_EVERGRANDE,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,2,2,,,
0x1D0,464,FLAG_MET_SCOTT_ON_SS_TIDAL,SCRIPT/EVENT,EM_USO,3,1,4,SSTidalCorridor,GLOBAL(codigo),
0x1D1,465,FLAG_SCOTT_GIVES_BATTLE_POINTS,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x1D2,466,FLAG_COLLECTED_ALL_GOLD_SYMBOLS,SCRIPT/EVENT,SO_MAPAS_FORA_DA_ROM,1,1,1,,,
0x1D3,467,FLAG_ENABLE_ROXANNE_MATCH_CALL,SCRIPT/EVENT,EM_USO,0,1,2,RustboroCity_Gym,GLOBAL(codigo),
0x1D4,468,FLAG_ENABLE_BRAWLY_MATCH_CALL,SCRIPT/EVENT,EM_USO,0,1,2,,GLOBAL(codigo),
0x1D5,469,FLAG_ENABLE_WATTSON_MATCH_CALL,SCRIPT/EVENT,EM_USO,0,1,2,MauvilleCity_Gym,GLOBAL(codigo),
0x1D6,470,FLAG_ENABLE_FLANNERY_MATCH_CALL,SCRIPT/EVENT,EM_USO,0,1,2,,GLOBAL(codigo),
0x1D7,471,FLAG_ENABLE_WINONA_MATCH_CALL,SCRIPT/EVENT,EM_USO,0,1,2,,GLOBAL(codigo),
0x1D8,472,FLAG_ENABLE_TATE_AND_LIZA_MATCH_CALL,SCRIPT/EVENT,EM_USO,0,1,2,,GLOBAL(codigo),
0x1D9,473,FLAG_ENABLE_JUAN_MATCH_CALL,SCRIPT/EVENT,EM_USO,0,1,2,SootopolisCity_Gym_1F,GLOBAL(codigo),
0x1DA,474,FLAG_WT_ENABLED,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x1DB,475,FLAG_SHOWN_MYSTIC_TICKET,SCRIPT/EVENT,EM_USO,2,2,2,,GLOBAL(codigo),
0x1DC,476,FLAG_DEFEATED_HO_OH,SCRIPT/EVENT,EM_USO,1,3,3,EcruteakCity,MAPA_UNICO:EcruteakCity,
0x1DD,477,FLAG_DEFEATED_LUGIA,SCRIPT/EVENT,EM_USO,1,3,3,EcruteakCity,MAPA_UNICO:EcruteakCity,
0x1DE,478,FLAG_INFINITE_STUFF,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x1DF,479,FLAG_INFINITE_STUFF_GIRL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x1E0,480,FLAG_KITAKAMIBORDER_MAX_ETHER,SCRIPT/EVENT,EM_USO,0,0,1,KitakamiBorder,MAPA_UNICO:KitakamiBorder,
0x1E1,481,FLAG_KITAKAMIBORDER_PROTBANDS,SCRIPT/EVENT,EM_USO,0,0,1,KitakamiBorder,MAPA_UNICO:KitakamiBorder,
0x1E2,482,FLAG_TM_WILD_CHARGE,SCRIPT/EVENT,EM_USO,0,0,1,KitakamiBorder,MAPA_UNICO:KitakamiBorder,
0x1E3,483,FLAG_TM_TOXIC,SCRIPT/EVENT,EM_USO,0,0,1,FoggyForest,MAPA_UNICO:FoggyForest,
0x1E4,484,FLAG_MYSTERY_GIFT_DONE,SCRIPT/EVENT,EM_USO,2,3,4,,GLOBAL(codigo),
0x1E5,485,FLAG_MYSTERY_GIFT_1,SCRIPT/EVENT,EM_USO,0,1,2,,GLOBAL(codigo),
0x1E6,486,FLAG_MYSTERY_GIFT_2,SCRIPT/EVENT,EM_USO,0,1,2,,GLOBAL(codigo),
0x1E7,487,FLAG_MYSTERY_GIFT_3,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1E8,488,FLAG_MYSTERY_GIFT_4,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1E9,489,FLAG_MYSTERY_GIFT_5,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1EA,490,FLAG_MYSTERY_GIFT_6,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1EB,491,FLAG_MYSTERY_GIFT_7,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1EC,492,FLAG_MYSTERY_GIFT_8,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1ED,493,FLAG_MYSTERY_GIFT_9,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1EE,494,FLAG_MYSTERY_GIFT_10,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1EF,495,FLAG_MYSTERY_GIFT_11,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1F0,496,FLAG_MYSTERY_GIFT_12,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1F1,497,FLAG_MYSTERY_GIFT_13,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1F2,498,FLAG_MYSTERY_GIFT_14,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1F3,499,FLAG_MYSTERY_GIFT_15,SCRIPT/EVENT,EM_USO,0,1,1,,GLOBAL(codigo),
0x1F4,500,FLAG_HIDDEN_ITEMS_START,SCRIPT/EVENT,EM_USO,0,0,3,,GLOBAL(codigo),
0x1F4,500,FLAG_HIDDEN_ITEM_ROUTE29_ETHER,SCRIPT/EVENT,EM_USO,0,0,1,Route29,MAPA_UNICO:Route29,
0x1F5,501,FLAG_HIDDEN_ITEM_TRICK_HOUSE_NUGGET,SCRIPT/EVENT,EM_USO,0,0,1,,GLOBAL(codigo),
0x1F6,502,FLAG_HIDDEN_ITEM_CHERRYGROVE_STARDUST,SCRIPT/EVENT,EM_USO,0,0,1,CherrygroveCity,MAPA_UNICO:CherrygroveCity,
0x1F7,503,FLAG_HIDDEN_ITEM_ROUTE30_FULL_HEAL,SCRIPT/EVENT,EM_USO,0,0,1,Route30,MAPA_UNICO:Route30,
0x1F8,504,FLAG_HIDDEN_ITEM_ROUTE30_POTION,SCRIPT/EVENT,EM_USO,0,0,1,Route30,MAPA_UNICO:Route30,
0x1F9,505,FLAG_HIDDEN_ITEM_ROUTE31_ANTIDOTE,SCRIPT/EVENT,EM_USO,0,0,1,Route31,MAPA_UNICO:Route31,
0x1FA,506,FLAG_HIDDEN_ITEM_ROUTE30_NUGGET,SCRIPT/EVENT,EM_USO,0,0,1,Route30,MAPA_UNICO:Route30,
0x1FB,507,FLAG_HIDDEN_ITEM_ROUTE32_GREAT_BALL,SCRIPT/EVENT,EM_USO,0,0,1,Route32,MAPA_UNICO:Route32,
0x1FC,508,FLAG_HIDDEN_ITEM_RUINSOFALPH_RARECANDY,SCRIPT/EVENT,EM_USO,0,0,1,RuinsOfAlph_Outside,MAPA_UNICO:RuinsOfAlph_Outside,
0x1FD,509,FLAG_HIDDEN_ITEM_ROUTE33_ETHER,SCRIPT/EVENT,EM_USO,0,0,1,Route33,MAPA_UNICO:Route33,
0x1FE,510,FLAG_HIDDEN_ITEM_ILEX_MUSHROOM,SCRIPT/EVENT,EM_USO,0,0,1,IlexForest,MAPA_UNICO:IlexForest,
0x1FF,511,FLAG_HIDDEN_ITEM_ILEX_PPUP,SCRIPT/EVENT,EM_USO,0,0,1,IlexForest,MAPA_UNICO:IlexForest,
0x200,512,FLAG_HIDDEN_ITEM_ROUTE34_ULTRABALL,SCRIPT/EVENT,EM_USO,0,0,1,Route34,MAPA_UNICO:Route34,
0x201,513,FLAG_HIDDEN_ITEM_ROUTE34_AWAKENING,SCRIPT/EVENT,EM_USO,0,0,1,Route34,MAPA_UNICO:Route34,
0x202,514,FLAG_HIDDEN_ITEM_ROUTE35_STARDUST,SCRIPT/EVENT,EM_USO,0,0,1,Route35,MAPA_UNICO:Route35,
0x203,515,FLAG_HIDDEN_ITEM_ROUTE36_CARBOS,SCRIPT/EVENT,EM_USO,0,0,1,Route36,MAPA_UNICO:Route36,
0x204,516,FLAG_HIDDEN_ITEM_ROUTE37_FULL_HEAL,SCRIPT/EVENT,EM_USO,0,0,1,Route37,MAPA_UNICO:Route37,
0x205,517,FLAG_HIDDEN_ITEM_ROUTE38_HP_UP,SCRIPT/EVENT,EM_USO,0,0,1,Route38,MAPA_UNICO:Route38,
0x206,518,FLAG_HIDDEN_ITEM_ROUTE38_REVIVE,SCRIPT/EVENT,EM_USO,0,0,1,Route38,MAPA_UNICO:Route38,
0x207,519,FLAG_HIDDEN_ITEM_BURNED_TOWER_BURNHEAL,SCRIPT/EVENT,EM_USO,0,0,1,BurnedTower_1F,MAPA_UNICO:BurnedTower_1F,
0x208,520,FLAG_HIDDEN_ITEM_BURNED_TOWER_CALCIUM,SCRIPT/EVENT,EM_USO,0,0,1,BurnedTower_B1F,MAPA_UNICO:BurnedTower_B1F,
0x209,521,FLAG_HIDDEN_ITEM_ROUTE42_DUSK_BALL,SCRIPT/EVENT,EM_USO,0,0,1,Route42,MAPA_UNICO:Route42,
0x20A,522,FLAG_HIDDEN_ITEM_ROUTE39_HYPER_POTION,SCRIPT/EVENT,EM_USO,0,0,1,Route39,MAPA_UNICO:Route39,
0x20B,523,FLAG_HIDDEN_ITEM_ROUTE40_PARALYZ_HEAL,SCRIPT/EVENT,EM_USO,0,0,1,Route40,MAPA_UNICO:Route40,
0x20C,524,FLAG_HIDDEN_ITEM_ROUTE41_QUIET_MINT,SCRIPT/EVENT,EM_USO,0,0,1,Route41,MAPA_UNICO:Route41,
0x20D,525,FLAG_HIDDEN_ITEM_ROUTE43_QUICK_BALL,SCRIPT/EVENT,EM_USO,0,0,1,Route43,MAPA_UNICO:Route43,
0x20E,526,FLAG_HIDDEN_ITEM_LAKEOFRAGE_RARE_CANDY,SCRIPT/EVENT,EM_USO,0,0,1,LakeOfRage,MAPA_UNICO:LakeOfRage,
0x20F,527,FLAG_HIDDEN_ITEM_ICEPATH_PP_MAX,SCRIPT/EVENT,EM_USO,0,0,1,IcePath_1F,MAPA_UNICO:IcePath_1F,
0x210,528,FLAG_HIDDEN_ITEM_ICEPATH_ELIXIR,SCRIPT/EVENT,EM_USO,0,0,1,IcePath_B2F,MAPA_UNICO:IcePath_B2F,
0x211,529,FLAG_HIDDEN_ITEM_BLACKTHORNE_PROTEIN,SCRIPT/EVENT,EM_USO,0,0,1,BlackthornCity,MAPA_UNICO:BlackthornCity,
0x212,530,FLAG_HIDDEN_ITEM_ROUTE45_FULL_RESTORE,SCRIPT/EVENT,EM_USO,0,0,1,Route45,MAPA_UNICO:Route45,
0x213,531,FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_1_KEY,SCRIPT/EVENT,EM_USO,0,0,1,,GLOBAL(codigo),
0x214,532,FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_2_KEY,SCRIPT/EVENT,EM_USO,0,0,1,,GLOBAL(codigo),
0x215,533,FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_4_KEY,SCRIPT/EVENT,EM_USO,0,0,1,,GLOBAL(codigo),
0x216,534,FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_6_KEY,SCRIPT/EVENT,EM_USO,0,0,1,,GLOBAL(codigo),
0x217,535,FLAG_HIDDEN_ITEM_SS_TIDAL_LOWER_DECK_LEFTOVERS,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x218,536,FLAG_HIDDEN_ITEM_UNDERWATER_124_CALCIUM,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x219,537,FLAG_HIDDEN_ITEM_ROUTE46_RAREBONE,SCRIPT/EVENT,EM_USO,0,0,1,Route46,MAPA_UNICO:Route46,
0x21A,538,FLAG_HIDDEN_ITEM_ROUTE47_PP_UP,SCRIPT/EVENT,EM_USO,0,0,1,Route47,MAPA_UNICO:Route47,
0x21B,539,FLAG_HIDDEN_ITEM_ROUTE47_MAX_REPEL,SCRIPT/EVENT,EM_USO,0,0,1,Route47,MAPA_UNICO:Route47,
0x21C,540,FLAG_HIDDEN_ITEM_ROUTE48_IRON,SCRIPT/EVENT,EM_USO,0,0,1,Route48,MAPA_UNICO:Route48,
0x21D,541,FLAG_HIDDEN_ITEM_KITAKAMIBORDER_ZINC,SCRIPT/EVENT,EM_USO,0,0,1,KitakamiBorder,MAPA_UNICO:KitakamiBorder,
0x21E,542,FLAG_HIDDEN_ITEM_UNION_CAVE1_LEPPA,SCRIPT/EVENT,EM_USO,0,0,1,UnionCave_1F,MAPA_UNICO:UnionCave_1F,
0x21F,543,FLAG_HIDDEN_ITEM_ROUTE44_MAX_REVIVE,SCRIPT/EVENT,EM_USO,0,0,1,Route44,MAPA_UNICO:Route44,
0x220,544,FLAG_HIDDEN_ITEM_UNIONCAVE3_REDCARD,SCRIPT/EVENT,EM_USO,0,0,1,UnionCave_B2F,MAPA_UNICO:UnionCave_B2F,
0x221,545,FLAG_HIDDEN_ITEM_DARKCAVE_ETHER,SCRIPT/EVENT,EM_USO,0,0,1,DarkCave_SouthSide,MAPA_UNICO:DarkCave_SouthSide,
0x222,546,FLAG_HIDDEN_ITEM_DARKCAVE_BIGPEARL,SCRIPT/EVENT,EM_USO,0,0,1,DarkCave_NorthSide,MAPA_UNICO:DarkCave_NorthSide,
0x223,547,FLAG_HIDDEN_ITEM_ROUTE49_REVIVE,SCRIPT/EVENT,EM_USO,0,0,1,Route49,MAPA_UNICO:Route49,
0x224,548,FLAG_HIDDEN_ITEM_ROUTE49_SITRUS_BERRY,SCRIPT/EVENT,EM_USO,0,0,1,Route49,MAPA_UNICO:Route49,
0x225,549,FLAG_HIDDEN_ITEM_SNOWTOPOUT_SUPERREPEL,SCRIPT/EVENT,EM_USO,0,0,1,SnowtopMountainOutside,MAPA_UNICO:SnowtopMountainOutside,
0x226,550,FLAG_HIDDEN_ITEM_SNOWTOPIN_STAR_PIECE,SCRIPT/EVENT,EM_USO,0,0,1,SnowtopMountain_B1F,MAPA_UNICO:SnowtopMountain_B1F,
0x227,551,FLAG_HIDDEN_ITEM_VAJRADESERT_FULL_HEAL,SCRIPT/EVENT,EM_USO,0,0,1,VajraDesert,MAPA_UNICO:VajraDesert,
0x228,552,FLAG_HIDDEN_ITEM_VICTORYROAD_MAX_REPEL,SCRIPT/EVENT,EM_USO,0,0,1,VictoryRoadKanto_1F,MAPA_UNICO:VictoryRoadKanto_1F,
0x229,553,FLAG_HIDDEN_ITEM_VICTORYROAD_PP_MAX,SCRIPT/EVENT,EM_USO,0,0,1,VictoryRoadKanto_B1F,MAPA_UNICO:VictoryRoadKanto_B1F,
0x22A,554,FLAG_HIDDEN_ITEM_ROUTE28_MAX_REVIVE,SCRIPT/EVENT,EM_USO,0,0,1,Route28,MAPA_UNICO:Route28,
0x22B,555,FLAG_HIDDEN_ITEM_ROUTE27_REVIVE,SCRIPT/EVENT,EM_USO,0,0,1,Route27,MAPA_UNICO:Route27,
0x22C,556,FLAG_HIDDEN_ITEM_ROUTE26_RARE_CANDY,SCRIPT/EVENT,EM_USO,0,0,1,Route26,MAPA_UNICO:Route26,
0x22D,557,FLAG_HIDDEN_ITEM_ROUTE26_ULTRA_BALL,SCRIPT/EVENT,EM_USO,0,0,1,Route26North,MAPA_UNICO:Route26North,
0x22E,558,FLAG_HIDDEN_ITEM_ROUTE50_BIG_NUGGET,SCRIPT/EVENT,EM_USO,0,0,1,Route50,MAPA_UNICO:Route50,
0x22F,559,FLAG_HIDDEN_ITEM_PETALBURG_WOODS_TINY_MUSHROOM_1,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x230,560,FLAG_HIDDEN_ITEM_PETALBURG_WOODS_TINY_MUSHROOM_2,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x231,561,FLAG_HIDDEN_ITEM_PETALBURG_WOODS_POKE_BALL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x232,562,FLAG_HIDDEN_ITEM_ROUTE_104_POKE_BALL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x233,563,FLAG_HIDDEN_ITEM_ROUTE_106_POKE_BALL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x234,564,FLAG_HIDDEN_ITEM_ROUTE_109_ETHER,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x235,565,FLAG_HIDDEN_ITEM_ROUTE_110_POKE_BALL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x236,566,FLAG_HIDDEN_ITEM_ROUTE_118_HEART_SCALE,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x237,567,FLAG_HIDDEN_ITEM_VAJRA_EAST_PP_MAX,SCRIPT/EVENT,EM_USO,0,0,1,VajraDesertEast,MAPA_UNICO:VajraDesertEast,
0x238,568,FLAG_HIDDEN_ITEM_VAJRA_EAST_STARPIECE,SCRIPT/EVENT,EM_USO,0,0,1,VajraDesertEast,MAPA_UNICO:VajraDesertEast,
0x239,569,FLAG_HIDDEN_ITEM_VAJRA_EAST_BEAST_BALL,SCRIPT/EVENT,EM_USO,0,0,1,VajraDesertEast,MAPA_UNICO:VajraDesertEast,
0x23A,570,FLAG_HIDDEN_ITEM_ROUTE_120_ZINC,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x23B,571,FLAG_HIDDEN_ITEM_ROUTE_120_RARE_CANDY_1,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x23C,572,FLAG_HIDDEN_ITEM_ROUTE_117_REPEL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x23D,573,FLAG_HIDDEN_ITEM_ROUTE_121_FULL_HEAL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x23E,574,FLAG_HIDDEN_ITEM_ROUTE_123_HYPER_POTION,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x23F,575,FLAG_HIDDEN_ITEM_LILYCOVE_CITY_POKE_BALL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x240,576,FLAG_HIDDEN_ITEM_JAGGED_PASS_GREAT_BALL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x241,577,FLAG_HIDDEN_ITEM_JAGGED_PASS_FULL_HEAL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x242,578,FLAG_HIDDEN_ITEM_MT_PYRE_EXTERIOR_MAX_ETHER,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x243,579,FLAG_HIDDEN_ITEM_MT_PYRE_SUMMIT_ZINC,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x244,580,FLAG_HIDDEN_ITEM_MT_PYRE_SUMMIT_RARE_CANDY,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x245,581,FLAG_HIDDEN_ITEM_VICTORY_ROAD_1F_ULTRA_BALL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x246,582,FLAG_HIDDEN_ITEM_VICTORY_ROAD_B2F_ELIXIR,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x247,583,FLAG_HIDDEN_ITEM_VICTORY_ROAD_B2F_MAX_REPEL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x248,584,FLAG_HIDDEN_ITEM_ROUTE_120_REVIVE,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x249,585,FLAG_HIDDEN_ITEM_ROUTE_104_ANTIDOTE,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x24A,586,FLAG_HIDDEN_ITEM_ROUTE_108_RARE_CANDY,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x24B,587,FLAG_HIDDEN_ITEM_ROUTE_119_MAX_ETHER,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x24C,588,FLAG_HIDDEN_ITEM_ROUTE_104_HEART_SCALE,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x24D,589,FLAG_HIDDEN_ITEM_ROUTE_105_HEART_SCALE,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x24E,590,FLAG_HIDDEN_ITEM_ROUTE_109_HEART_SCALE_2,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x24F,591,FLAG_HIDDEN_ITEM_ROUTE_109_HEART_SCALE_3,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x250,592,FLAG_HIDDEN_ITEM_ROUTE_128_HEART_SCALE_1,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x251,593,FLAG_HIDDEN_ITEM_ROUTE_128_HEART_SCALE_2,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x252,594,FLAG_HIDDEN_ITEM_ROUTE_128_HEART_SCALE_3,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x253,595,FLAG_HIDDEN_ITEM_PETALBURG_CITY_RARE_CANDY,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x254,596,FLAG_HIDDEN_ITEM_ROUTE_116_BLACK_GLASSES,SCRIPT/EVENT,EM_USO,1,0,1,,GLOBAL(codigo),
0x255,597,FLAG_HIDDEN_ITEM_ROUTE_115_HEART_SCALE,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x256,598,FLAG_HIDDEN_ITEM_ROUTE_113_NUGGET,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x257,599,FLAG_HIDDEN_ITEM_ROUTE_123_PP_UP,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x258,600,FLAG_HIDDEN_ITEM_ROUTE_121_MAX_REVIVE,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x259,601,FLAG_HIDDEN_ITEM_ARTISAN_CAVE_B1F_CALCIUM,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x25A,602,FLAG_HIDDEN_ITEM_ARTISAN_CAVE_B1F_ZINC,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x25B,603,FLAG_HIDDEN_ITEM_ARTISAN_CAVE_B1F_PROTEIN,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x25C,604,FLAG_HIDDEN_ITEM_ARTISAN_CAVE_B1F_IRON,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x25D,605,FLAG_HIDDEN_ITEM_SAFARI_ZONE_SOUTH_EAST_FULL_RESTORE,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x25E,606,FLAG_HIDDEN_ITEM_SAFARI_ZONE_NORTH_EAST_RARE_CANDY,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x25F,607,FLAG_HIDDEN_ITEM_SAFARI_ZONE_NORTH_EAST_ZINC,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x260,608,FLAG_HIDDEN_ITEM_SAFARI_ZONE_SOUTH_EAST_PP_UP,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x261,609,FLAG_HIDDEN_ITEM_NAVEL_ROCK_TOP_SACRED_ASH,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x262,610,FLAG_HIDDEN_ITEM_ROUTE_123_RARE_CANDY,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x263,611,FLAG_HIDDEN_ITEM_ROUTE_105_BIG_PEARL,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x264,612,FLAG_MINTS_CLERK,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x265,613,FLAG_EXTRA_LEGENDARIES,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x266,614,FLAG_OLD_MAN_AND_DUSCLOPS,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x267,615,FLAG_CERULEAN_CAVE_LUCKY_EGG,SCRIPT/EVENT,NUNCA_REFERENCIADA,0,0,0,,,
0x268,616,FLAG_MET_FRONTIER_ELEMENTAL_MOVE_TUTOR,SCRIPT/EVENT,EM_USO,3,3,3,SaffronCity_FightingDojoVIP;TrainerHill_Courtyard,MULTI_MAPA(2),HnSFLAGS SPILLOVER
0x269,617,FLAG_HIDE_WHIRL_ISLANDS_KIMONO_GIRLS,SCRIPT/EVENT,EM_USO,0,6,5,EcruteakCity;EcruteakCity_Theater;WhirlIslands_LugiaChamber,MULTI_MAPA(3),Set after compelted legendary event
0x26A,618,FLAG_HIDE_TIN_TOWER_KIMONO_GIRLS,SCRIPT/EVENT,EM_USO,0,6,6,EcruteakCity;EcruteakCity_Theater;TinTower_RoofDay;TinTower_RoofNight,MULTI_MAPA(4),Set after completing legendary event
0x26B,619,FLAG_NIGHT_POKEMON,SCRIPT/EVENT,EM_USO,4,6,75,AzaleaTown;BattleFactoryGrounds;BellchimeTrail;BlackthornCity,GLOBAL(codigo),Set at day to hide nighttime overworld pokemon
0x26C,620,FLAG_DAY_POKEMON,SCRIPT/EVENT,EM_USO,19,6,50,BellchimeTrail;CeladonCity_Apartments_RoofDay;CeladonCity_DepartmentStore_RoofDay;CinnabarIsland,GLOBAL(codigo),Set at night to hide daytime overworld pokemon
0x26D,621,FLAG_DEFEATED_PEWTER_GYM,SCRIPT/EVENT,EM_USO,2,1,2,PewterCity_Gym,GLOBAL(codigo),KANTO GYM LEADER FLAGS
0x26E,622,FLAG_DEFEATED_CERULEAN_GYM,SCRIPT/EVENT,EM_USO,2,1,2,CeruleanCity_Gym,GLOBAL(codigo),
0x26F,623,FLAG_DEFEATED_VERMILION_GYM,SCRIPT/EVENT,EM_USO,2,1,2,VermilionCity_Gym,GLOBAL(codigo),
0x270,624,FLAG_DEFEATED_CELADON_GYM,SCRIPT/EVENT,EM_USO,1,1,2,CeladonCity_Gym,GLOBAL(codigo),
0x271,625,FLAG_DEFEATED_SAFFRON_GYM,SCRIPT/EVENT,EM_USO,2,1,2,SaffronCity_Gym,GLOBAL(codigo),
0x272,626,FLAG_DEFEATED_FUCHSIA_GYM,SCRIPT/EVENT,EM_USO,4,1,2,FuchsiaCity_Gym,GLOBAL(codigo),
0x273,627,FLAG_DEFEATED_CINNABAR_ISLAND_GYM,SCRIPT/EVENT,EM_USO,3,1,4,Route19;SeafoamIslands_Gym,GLOBAL(codigo),
0x274,628,FLAG_DEFEATED_VIRIDIAN_GYM,SCRIPT/EVENT,EM_USO,2,1,2,ViridianCity_Gym,GLOBAL(codigo),
0x275,629,FLAG_HIDE_VIOLET_SCHOOL_FALKNER,SCRIPT/EVENT,EM_USO,0,6,7,CeladonCity_DepartmentStore_5F;SSAqua_1F;VioletCity_TrainerSchool,GLOBAL(codigo),gym leader rematches
