Familia,FlagConfig,Geracao,DexRange,NumEspecies,Membros,Flag,Tipos,InnatesCompletos,InnatesRatio,GruposOvo,JaReferenciado,Evidencia
XURKITREE,P_FAMILY_XURKITREE,7,796,1,Xurkitree,Ultra Beast,ELECTRIC,Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_7_families.h:6856
CELESTEELA,P_FAMILY_CELESTEELA,7,797,1,Celesteela,Ultra Beast,"STEEL, FLYING",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_7_families.h:6929
KARTANA,P_FAMILY_KARTANA,7,798,1,Kartana,Ultra Beast,"GRASS, STEEL",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_7_families.h:7005
GUZZLORD,P_FAMILY_GUZZLORD,7,799,1,Guzzlord,Ultra Beast,"DARK, DRAGON",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_7_families.h:7080
STAKATAKA,P_FAMILY_STAKATAKA,7,805,1,Stakataka,Ultra Beast,"ROCK, STEEL",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_7_families.h:7949
BLACEPHALON,P_FAMILY_BLACEPHALON,7,806,1,Blacephalon,Ultra Beast,"FIRE, GHOST",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_7_families.h:8021
SKWOVET,P_FAMILY_SKWOVET,8,819-820,2,"Skwovet, Greedent",Comum,NORMAL,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_8_families.h:792
BLIPBUG,P_FAMILY_BLIPBUG,8,824-826,3,"Blipbug, Dottler, Orbeetle",Comum,BUG,Sim,3/3,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_8_families.h:1211
NICKIT,P_FAMILY_NICKIT,8,827-828,2,"Nickit, Thievul",Comum,DARK,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_8_families.h:1478
GOSSIFLEUR,P_FAMILY_GOSSIFLEUR,8,829-830,2,"Gossifleur, Eldegoss",Comum,GRASS,Sim,2/2,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_8_families.h:1612
WOOLOO,P_FAMILY_WOOLOO,8,831-832,2,"Wooloo, Dubwool",Comum,NORMAL,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_8_families.h:1746
CHEWTLE,P_FAMILY_CHEWTLE,8,833-834,2,"Chewtle, Drednaw",Comum,WATER,Sim,2/2,"EGG_GROUP_MONSTER, EGG_GROUP_WATER_1",,src/data/pokemon/species_info/gen_8_families.h:1880
YAMPER,P_FAMILY_YAMPER,8,835-836,2,"Yamper, Boltund",Comum,ELECTRIC,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_8_families.h:2083
ROLYCOLY,P_FAMILY_ROLYCOLY,8,837-839,3,"Rolycoly, Carkol, Coalossal",Comum,ROCK,Sim,3/3,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_8_families.h:2217
CRAMORANT,P_FAMILY_CRAMORANT,8,845,1,Cramorant,Comum,"FLYING, WATER",Sim,1/1,"EGG_GROUP_WATER_1, EGG_GROUP_FLYING",,src/data/pokemon/species_info/gen_8_families.h:3161
ARROKUDA,P_FAMILY_ARROKUDA,8,846-847,2,"Arrokuda, Barraskewda",Comum,WATER,Sim,2/2,EGG_GROUP_WATER_2,,src/data/pokemon/species_info/gen_8_families.h:3348
CLOBBOPUS,P_FAMILY_CLOBBOPUS,8,852-853,2,"Clobbopus, Grapploct",Comum,FIGHTING,Sim,2/2,"EGG_GROUP_WATER_1, EGG_GROUP_HUMAN_LIKE",,src/data/pokemon/species_info/gen_8_families.h:4002
HATENNA,P_FAMILY_HATENNA,8,856-858,3,"Hatenna, Hattrem, Hatterene",Comum,PSYCHIC,Sim,3/3,EGG_GROUP_FAIRY,,src/data/pokemon/species_info/gen_8_families.h:4408
MILCERY,P_FAMILY_MILCERY,8,868-869,2,"Milcery, ALCREMIE_STRAWBERRY_VANILLA_CREAM",Comum,FAIRY,Sim,2/2,"EGG_GROUP_FAIRY, EGG_GROUP_AMORPHOUS",,src/data/pokemon/species_info/gen_8_families.h:4932
PINCURCHIN,P_FAMILY_PINCURCHIN,8,871,1,Pincurchin,Comum,ELECTRIC,Sim,1/1,"EGG_GROUP_WATER_1, EGG_GROUP_AMORPHOUS",,src/data/pokemon/species_info/gen_8_families.h:5493
SNOM,P_FAMILY_SNOM,8,872-873,2,"Snom, Frosmoth",Comum,"ICE, BUG",Sim,2/2,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_8_families.h:5572
STONJOURNER,P_FAMILY_STONJOURNER,8,874,1,Stonjourner,Comum,ROCK,Sim,1/1,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_8_families.h:5708
EISCUE,P_FAMILY_EISCUE,8,875,1,Eiscue,Comum,ICE,Sim,1/1,"EGG_GROUP_WATER_1, EGG_GROUP_FIELD",,src/data/pokemon/species_info/gen_8_families.h:5776
MORPEKO,P_FAMILY_MORPEKO,8,877,1,Morpeko,Comum,"ELECTRIC, DARK",Sim,1/1,"EGG_GROUP_FIELD, EGG_GROUP_FAIRY",,src/data/pokemon/species_info/gen_8_families.h:6040
CUFANT,P_FAMILY_CUFANT,8,878-879,2,"Cufant, Copperajah",Comum,STEEL,Sim,2/2,"EGG_GROUP_FIELD, EGG_GROUP_MINERAL",,src/data/pokemon/species_info/gen_8_families.h:6169
DRACOZOLT,P_FAMILY_DRACOZOLT,8,880,1,Dracozolt,Comum,"ELECTRIC, DRAGON",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_8_families.h:6368
ARCTOZOLT,P_FAMILY_ARCTOZOLT,8,881,1,Arctozolt,Comum,"ELECTRIC, ICE",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_8_families.h:6435
DRACOVISH,P_FAMILY_DRACOVISH,8,882,1,Dracovish,Comum,"WATER, DRAGON",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_8_families.h:6501
ARCTOVISH,P_FAMILY_ARCTOVISH,8,883,1,Arctovish,Comum,"WATER, ICE",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_8_families.h:6568
LECHONK,P_FAMILY_LECHONK,9,915-916,2,"Lechonk, Oinkologne",Comum,NORMAL,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_9_families.h:672
TAROUNTULA,P_FAMILY_TAROUNTULA,9,917-918,2,"Tarountula, Spidops",Comum,BUG,Sim,2/2,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_9_families.h:873
NYMBLE,P_FAMILY_NYMBLE,9,919-920,2,"Nymble, Lokix",Comum,BUG,Sim,2/2,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_9_families.h:1007
FIDOUGH,P_FAMILY_FIDOUGH,9,926-927,2,"Fidough, Dachsbun",Comum,FAIRY,Sim,2/2,"EGG_GROUP_FIELD, EGG_GROUP_MINERAL",,src/data/pokemon/species_info/gen_9_families.h:1543
SMOLIV,P_FAMILY_SMOLIV,9,928-930,3,"Smoliv, Dolliv, Arboliva",Comum,"GRASS, NORMAL",Sim,3/3,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_9_families.h:1677
SQUAWKABILLY,P_FAMILY_SQUAWKABILLY,9,931,1,Squawkabilly,Comum,"NORMAL, FLYING",Sim,1/1,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_9_families.h:1877
TADBULB,P_FAMILY_TADBULB,9,938-939,2,"Tadbulb, Bellibolt",Comum,ELECTRIC,Sim,2/2,EGG_GROUP_WATER_1,,src/data/pokemon/species_info/gen_9_families.h:2547
MASCHIFF,P_FAMILY_MASCHIFF,9,942-943,2,"Maschiff, Mabosstiff",Comum,DARK,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_9_families.h:2816
SHROODLE,P_FAMILY_SHROODLE,9,944-945,2,"Shroodle, Grafaiai",Comum,"POISON, NORMAL",Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_9_families.h:2950
BRAMBLIN,P_FAMILY_BRAMBLIN,9,946-947,2,"Bramblin, Brambleghast",Comum,"GRASS, GHOST",Sim,2/2,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_9_families.h:3084
TOEDSCOOL,P_FAMILY_TOEDSCOOL,9,948-949,2,"Toedscool, Toedscruel",Comum,"GROUND, GRASS",Sim,2/2,EGG_GROUP_GRASS,,src/data/pokemon/species_info/gen_9_families.h:3218
KLAWF,P_FAMILY_KLAWF,9,950,1,Klawf,Comum,ROCK,Sim,1/1,EGG_GROUP_WATER_3,,src/data/pokemon/species_info/gen_9_families.h:3356
RELLOR,P_FAMILY_RELLOR,9,953-954,2,"Rellor, Rabsca",Comum,BUG,Sim,2/2,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_9_families.h:3619
WIGLETT,P_FAMILY_WIGLETT,9,960-961,2,"Wiglett, Wugtrio",Comum,WATER,Sim,2/2,EGG_GROUP_WATER_3,,src/data/pokemon/species_info/gen_9_families.h:4087
BOMBIRDIER,P_FAMILY_BOMBIRDIER,9,962,1,Bombirdier,Comum,"FLYING, DARK",Sim,1/1,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_9_families.h:4219
VAROOM,P_FAMILY_VAROOM,9,965-966,2,"Varoom, Revavroom",Comum,"STEEL, POISON",Sim,2/2,EGG_GROUP_MINERAL,,src/data/pokemon/species_info/gen_9_families.h:4489
ORTHWORM,P_FAMILY_ORTHWORM,9,968,1,Orthworm,Comum,STEEL,Sim,1/1,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_9_families.h:4691
GREAVARD,P_FAMILY_GREAVARD,9,971-972,2,"Greavard, Houndstone",Comum,GHOST,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_9_families.h:4958
CETODDLE,P_FAMILY_CETODDLE,9,974-975,2,"Cetoddle, Cetitan",Comum,ICE,Sim,2/2,EGG_GROUP_FIELD,,src/data/pokemon/species_info/gen_9_families.h:5160
VELUZA,P_FAMILY_VELUZA,9,976,1,Veluza,Comum,"WATER, PSYCHIC",Sim,1/1,EGG_GROUP_WATER_2,,src/data/pokemon/species_info/gen_9_families.h:5294
WO_CHIEN,P_FAMILY_WO_CHIEN,9,1001,1,Wo-Chien,Sublendário,"DARK, GRASS",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_9_families.h:7101
TING_LU,P_FAMILY_TING_LU,9,1003,1,Ting-Lu,Sublendário,"DARK, GROUND",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_9_families.h:7239
OKIDOGI,P_FAMILY_OKIDOGI,9,1014,1,Okidogi,Sublendário,"POISON, FIGHTING",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_9_families.h:8068
MUNKIDORI,P_FAMILY_MUNKIDORI,9,1015,1,Munkidori,Sublendário,"POISON, PSYCHIC",Sim,1/1,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_9_families.h:8137
