NatDex,Especie,Const,Geracao,ExisteNoRepo,Habilitada,Obtivel,Classificacao,MetodoLocal,Evidencia
213,Shuckle,SPECIES_SHUCKLE,2,Sim,Nao,Nao,Desabilitado por configuração,"NPC gift (script, var) @ CIANWOOD_HOUSE3",data/maps/CianwoodHouse3/scripts.inc:30 (MAP_CIANWOOD_HOUSE3)
214,Heracross,SPECIES_HERACROSS,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Hidden Grotto @ HIDDEN_GROTTO_GOLDENROD_SHORE; Wild encounter @ ROUTE48,src/data/wild_encounters.json (MAP_ROUTE48)
215,Sneasel,SPECIES_SNEASEL,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ICE_PATH_1F; Wild encounter @ ICE_PATH_B2F; Wild encounter @ ICE_PATH_B3F; Wild encounter @ ICE_PATH_B4F; Wild encounter @ ICE_PATH_DEPTHS,src/data/wild_encounters.json (MAP_ICE_PATH_1F)
216,Teddiursa,SPECIES_TEDDIURSA,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ DARK_CAVE_SOUTH_SIDE,src/data/wild_encounters.json (MAP_DARK_CAVE_SOUTH_SIDE)
217,Ursaring,SPECIES_URSARING,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ DARK_CAVE_NORTH_SIDE; Wild encounter @ MT_SILVER_1F_ITEM_ROOM; Wild encounter @ MT_SILVER_1F_WATERFALL_ROOM; Wild encounter @ MT_SILVER_3F; Wild encounter @ ROUTE45,src/data/wild_encounters.json (MAP_ROUTE45)
218,Slugma,SPECIES_SLUGMA,2,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_2_families.h:6468
219,Magcargo,SPECIES_MAGCARGO,2,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_2_families.h:6542
220,Swinub,SPECIES_SWINUB,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ICE_PATH_1F; Wild encounter @ ICE_PATH_B1F; Wild encounter @ ICE_PATH_B2F; Wild encounter @ ICE_PATH_B3F; Wild encounter @ ICE_PATH_B4F,src/data/wild_encounters.json (MAP_ICE_PATH_1F)
221,Piloswine,SPECIES_PILOSWINE,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ICE_PATH_DEPTHS,src/data/wild_encounters.json (MAP_ICE_PATH_DEPTHS)
222,Corsola,SPECIES_CORSOLA,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ CHERRYGROVE_CITY; Wild encounter @ FOGGY_SHORE; Wild encounter @ FOGGY_SHORE2; Wild encounter @ OLIVINE_CITY; Wild encounter @ ROUTE33SOUTH_UNDERWATER; Wild encounter @ ROUTE34; Wild encounter @ ROUTE40; Wild encounter @ ROUTE50UNDERWAT,src/data/wild_encounters.json (MAP_ROUTE34)
223,Remoraid,SPECIES_REMORAID,2,Sim,Nao,Nao,Desabilitado por configuração,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
224,Octillery,SPECIES_OCTILLERY,2,Sim,Nao,Nao,Desabilitado por configuração,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
225,Delibird,SPECIES_DELIBIRD,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ICE_PATH_B3F; Wild encounter @ ICE_PATH_B4F,src/data/wild_encounters.json (MAP_ICE_PATH_B3F)
226,Mantine,SPECIES_MANTINE,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE33; Wild encounter @ ROUTE41,src/data/wild_encounters.json (MAP_ROUTE33)
227,Skarmory,SPECIES_SKARMORY,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ MT_SILVER_MOUNTAIN_SIDE; Wild encounter @ MT_SILVER_OUTSIDE; Wild encounter @ ROUTE43; Wild encounter @ ROUTE45,src/data/wild_encounters.json (MAP_ROUTE43)
228,Houndour,SPECIES_HOUNDOUR,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ BURNED_TOWER_1F; Wild encounter @ ROUTE36,src/data/wild_encounters.json (MAP_ROUTE36)
229,Houndoom,SPECIES_HOUNDOOM,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ MT_SILVER_SNOW,src/data/wild_encounters.json (MAP_MT_SILVER_SNOW)
230,Kingdra,SPECIES_KINGDRA,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
231,Phanpy,SPECIES_PHANPY,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE46,src/data/wild_encounters.json (MAP_ROUTE46)
232,Donphan,SPECIES_DONPHAN,2,Sim,Sim,Sim,Obtível normalmente,Wild encounter @ ROUTE45,src/data/wild_encounters.json (MAP_ROUTE45)
233,Porygon2,SPECIES_PORYGON2,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
234,Stantler,SPECIES_STANTLER,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE37,src/data/wild_encounters.json (MAP_ROUTE37)
235,Smeargle,SPECIES_SMEARGLE,2,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_2_families.h:8176
236,Tyrogue,SPECIES_TYROGUE,2,Sim,Sim,Sim,Obtível normalmente,"Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; NPC gift (script) @ MT_MORTAR_B1F; NPC gift (script, var) @ MT_MORTAR_B1F",src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
237,Hitmontop,SPECIES_HITMONTOP,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
238,Smoochum,SPECIES_SMOOCHUM,2,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:17249
239,Elekid,SPECIES_ELEKID,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
240,Magby,SPECIES_MAGBY,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
241,Miltank,SPECIES_MILTANK,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE38; Wild encounter @ ROUTE39,src/data/wild_encounters.json (MAP_ROUTE38)
242,Blissey,SPECIES_BLISSEY,2,Sim,Sim,Sim,Obtível normalmente,Wild encounter @ ROUTE47,src/data/wild_encounters.json (MAP_ROUTE47)
243,Raikou,SPECIES_RAIKOU,2,Sim,Sim,Sim,Obtível normalmente,Roaming legendary,src/roamer.c:167
244,Entei,SPECIES_ENTEI,2,Sim,Sim,Sim,Obtível normalmente,Roaming legendary,src/roamer.c:166
245,Suicune,SPECIES_SUICUNE,2,Sim,Sim,Sim,Obtível normalmente,Roaming legendary; Scripted event battle @ ROUTE25,data/maps/Route25/scripts.inc:228 (MAP_ROUTE25)
246,Larvitar,SPECIES_LARVITAR,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Hidden Grotto @ HIDDEN_GROTTO_UNUSED; Wild encounter @ DARK_CAVE_SOUTH_SIDE,src/data/wild_encounters.json (MAP_DARK_CAVE_SOUTH_SIDE)
247,Pupitar,SPECIES_PUPITAR,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ DARK_CAVE_NORTH_SIDE; Wild encounter @ MT_SILVER_3F,src/data/wild_encounters.json (MAP_DARK_CAVE_NORTH_SIDE)
248,Tyranitar,SPECIES_TYRANITAR,2,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ MT_SILVER_1F_ITEM_ROOM; Wild encounter @ MT_SILVER_1F_WATERFALL_ROOM; Wild encounter @ MT_SILVER_2F,src/data/wild_encounters.json (MAP_MT_SILVER_1F_ITEM_ROOM)
249,Lugia,SPECIES_LUGIA,2,Sim,Sim,Sim,Obtível normalmente,Boss legendary battle @ WHIRL_ISLANDS_LUGIA_CHAMBER,data/maps/WhirlIslands_LugiaChamber/scripts.inc:212 (MAP_WHIRL_ISLANDS_LUGIA_CHAMBER)
250,Ho-Oh,SPECIES_HO_OH,2,Sim,Sim,Sim,Obtível normalmente,Boss legendary battle @ TIN_TOWER_ROOF_DAY,data/maps/TinTower_RoofDay/scripts.inc:185 (MAP_TIN_TOWER_ROOF_DAY)
251,Celebi,SPECIES_CELEBI,2,Sim,Sim,Sim,Obtível normalmente,Scripted event battle @ ILEX_FOREST,data/maps/IlexForest/scripts.inc:544 (MAP_ILEX_FOREST)
252,Treecko,SPECIES_TREECKO,3,Sim,Sim,Sim,Obtível normalmente,"Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; NPC gift (script) @ SAFFRON_CITY_SILPH_CO; NPC gift (script, var) @ SAFFRON_CITY_SILPH_CO",src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
253,Grovyle,SPECIES_GROVYLE,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
254,Sceptile,SPECIES_SCEPTILE,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
255,Torchic,SPECIES_TORCHIC,3,Sim,Sim,Sim,Obtível normalmente,"Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; NPC gift (script) @ SAFFRON_CITY_SILPH_CO; NPC gift (script, var) @ SAFFRON_CITY_SILPH_CO; Starter choice",src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
256,Combusken,SPECIES_COMBUSKEN,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
257,Blaziken,SPECIES_BLAZIKEN,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
258,Mudkip,SPECIES_MUDKIP,3,Sim,Sim,Sim,Obtível normalmente,"Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; NPC gift (script) @ SAFFRON_CITY_SILPH_CO; NPC gift (script, var) @ SAFFRON_CITY_SILPH_CO",src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
259,Marshtomp,SPECIES_MARSHTOMP,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
260,Swampert,SPECIES_SWAMPERT,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
261,Poochyena,SPECIES_POOCHYENA,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:959
262,Mightyena,SPECIES_MIGHTYENA,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:1041
263,Zigzagoon,SPECIES_ZIGZAGOON,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE29,src/data/wild_encounters.json (MAP_ROUTE29)
264,Linoone,SPECIES_LINOONE,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE26; Wild encounter @ ROUTE27,src/data/wild_encounters.json (MAP_ROUTE27)
265,Wurmple,SPECIES_WURMPLE,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:1491
266,Silcoon,SPECIES_SILCOON,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:1572
267,Beautifly,SPECIES_BEAUTIFLY,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:1645
268,Cascoon,SPECIES_CASCOON,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:1743
269,Dustox,SPECIES_DUSTOX,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:1824
270,Lotad,SPECIES_LOTAD,3,Sim,Nao,Nao,Desabilitado por configuração,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; NPC gift (script) @ ROUTE25_BILLS_HOUSE,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
271,Lombre,SPECIES_LOMBRE,3,Sim,Nao,Nao,Desabilitado por configuração,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
272,Ludicolo,SPECIES_LUDICOLO,3,Sim,Nao,Nao,Desabilitado por configuração,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
273,Seedot,SPECIES_SEEDOT,3,Sim,Nao,Nao,Desabilitado por configuração,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
274,Nuzleaf,SPECIES_NUZLEAF,3,Sim,Nao,Nao,Desabilitado por configuração,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
275,Shiftry,SPECIES_SHIFTRY,3,Sim,Nao,Nao,Desabilitado por configuração,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
276,Taillow,SPECIES_TAILLOW,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:2439
277,Swellow,SPECIES_SWELLOW,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:2518
278,Wingull,SPECIES_WINGULL,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE42; Wild encounter @ RUINS_OF_ALPH_OUTSIDE,src/data/wild_encounters.json (MAP_RUINS_OF_ALPH_OUTSIDE)
279,Pelipper,SPECIES_PELIPPER,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE42; Wild encounter @ RUINS_OF_ALPH_OUTSIDE,src/data/wild_encounters.json (MAP_RUINS_OF_ALPH_OUTSIDE)
280,Ralts,SPECIES_RALTS,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE30; Wild encounter @ ROUTE35,src/data/wild_encounters.json (MAP_ROUTE30)
281,Kirlia,SPECIES_KIRLIA,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
282,Gardevoir,SPECIES_GARDEVOIR,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
283,Surskit,SPECIES_SURSKIT,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:3306
284,Masquerain,SPECIES_MASQUERAIN,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:3381
285,Shroomish,SPECIES_SHROOMISH,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Hidden Grotto @ HIDDEN_GROTTO_GOLDENROD_SHORE; Wild encounter @ ILEX_FOREST,src/data/wild_encounters.json (MAP_ILEX_FOREST)
286,Breloom,SPECIES_BRELOOM,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
287,Slakoth,SPECIES_SLAKOTH,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:3635
288,Vigoroth,SPECIES_VIGOROTH,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:3710
289,Slaking,SPECIES_SLAKING,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:3785
290,Nincada,SPECIES_NINCADA,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ NATIONAL_PARK_NORMAL; Wild encounter @ RUINS_OF_ALPH_OUTSIDE,src/data/wild_encounters.json (MAP_RUINS_OF_ALPH_OUTSIDE)
291,Ninjask,SPECIES_NINJASK,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE50,src/data/wild_encounters.json (MAP_ROUTE50)
292,Shedinja,SPECIES_SHEDINJA,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
293,Whismur,SPECIES_WHISMUR,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:4108
294,Loudred,SPECIES_LOUDRED,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:4187
295,Exploud,SPECIES_EXPLOUD,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:4260
296,Makuhita,SPECIES_MAKUHITA,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE34,src/data/wild_encounters.json (MAP_ROUTE34)
297,Hariyama,SPECIES_HARIYAMA,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ CLIFF_EDGE_CAVE,src/data/wild_encounters.json (MAP_CLIFF_EDGE_CAVE)
298,Azurill,SPECIES_AZURILL,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
299,Nosepass,SPECIES_NOSEPASS,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ CLIFF_EDGE_CAVE; Wild encounter @ RUINS_OF_ALPH_OUTSIDE; Wild encounter @ SLOWPOKE_WELL_B1F; Wild encounter @ SLOWPOKE_WELL_B2F,src/data/wild_encounters.json (MAP_RUINS_OF_ALPH_OUTSIDE)
300,Skitty,SPECIES_SKITTY,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:4651
301,Delcatty,SPECIES_DELCATTY,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:4727
302,Sableye,SPECIES_SABLEYE,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ FOGGY_FOREST; Wild encounter @ KITAKAMI_MOUNTAIN1F; Wild encounter @ KITAKAMI_MOUNTAIN2F; Wild encounter @ KITAKAMI_MOUNTAIN3F; Wild encounter @ KITAKAMI_MOUNTAIN4F; Wild encounter @ VAJRA_PYRAMID_FLOOR1; Wild encounter @ VAJRA_PYRAMID_,src/data/wild_encounters.json (MAP_FOGGY_FOREST)
303,Mawile,SPECIES_MAWILE,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ CLIFF_EDGE_CAVE; Wild encounter @ MT_MORTAR_1F_NORTH; Wild encounter @ MT_MORTAR_1F_SOUTH; Wild encounter @ MT_MORTAR_2F; Wild encounter @ MT_MORTAR_B1F; Wild encounter @ UNION_CAVE_B1F,src/data/wild_encounters.json (MAP_UNION_CAVE_B1F)
304,Aron,SPECIES_ARON,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ UNION_CAVE_B2F,src/data/wild_encounters.json (MAP_UNION_CAVE_B2F)
305,Lairon,SPECIES_LAIRON,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
306,Aggron,SPECIES_AGGRON,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ VICTORY_ROAD_KANTO_1F; Wild encounter @ VICTORY_ROAD_KANTO_B1F; Wild encounter @ VICTORY_ROAD_KANTO_B2F,src/data/wild_encounters.json (MAP_VICTORY_ROAD_KANTO_B2F)
307,Meditite,SPECIES_MEDITITE,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
308,Medicham,SPECIES_MEDICHAM,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; NPC gift (script) @ SAFARI_ZONE_GATE_SAFARI_ZONE_ENTRANCE; Wild encounter @ KITAKAMI_MOUNTAIN1F; Wild encounter @ KITAKAMI_MOUNTAIN2F; Wild encounter @ KITAKAMI_MOUNTAIN3F; Wild encounter @ KITAKAMI_MOUNTAIN4F,src/data/wild_encounters.json (MAP_KITAKAMI_MOUNTAIN1F)
309,Electrike,SPECIES_ELECTRIKE,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE38,src/data/wild_encounters.json (MAP_ROUTE38)
310,Manectric,SPECIES_MANECTRIC,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ TIN_TOWER_3F; Wild encounter @ TIN_TOWER_4F; Wild encounter @ TIN_TOWER_5F; Wild encounter @ TIN_TOWER_6F; Wild encounter @ TIN_TOWER_7F; Wild encounter @ TIN_TOWER_8F; Wild encounter @ TIN_TOWER_9F,src/data/wild_encounters.json (MAP_TIN_TOWER_3F)
311,Plusle,SPECIES_PLUSLE,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:5918
312,Minun,SPECIES_MINUN,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:5998
313,Volbeat,SPECIES_VOLBEAT,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:6078
314,Illumise,SPECIES_ILLUMISE,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:6160
315,Roselia,SPECIES_ROSELIA,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Hidden Grotto @ HIDDEN_GROTTO_ILEX; NPC gift (script) @ ROUTE25_BILLS_HOUSE,src/hidden_grotto.c (MAP_HIDDEN_GROTTO_ILEX)
316,Gulpin,SPECIES_GULPIN,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:6504
317,Swalot,SPECIES_SWALOT,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:6592
318,Carvanha,SPECIES_CARVANHA,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ NATIONAL_PARK_NORMAL; Wild encounter @ ROUTE31; Wild encounter @ ROUTE42; Wild encounter @ ROUTE44; Wild encounter @ ROUTE47; Wild encounter @ ROUTE50; Wild encounter @ RUINS_OF_ALPH_OUTSIDE; Wild encounter @ VAJRA_DESERT_EAST,src/data/wild_encounters.json (MAP_ROUTE31)
319,Sharpedo,SPECIES_SHARPEDO,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ NATIONAL_PARK_NORMAL; Wild encounter @ ROUTE31; Wild encounter @ ROUTE42; Wild encounter @ ROUTE44; Wild encounter @ ROUTE47,src/data/wild_encounters.json (MAP_ROUTE31)
320,Wailmer,SPECIES_WAILMER,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:6917
321,Wailord,SPECIES_WAILORD,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:6993
322,Numel,SPECIES_NUMEL,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ BURNED_TOWER_1F; Wild encounter @ BURNED_TOWER_B1F; Wild encounter @ MT_MORTAR_DEPTHS_1,src/data/wild_encounters.json (MAP_BURNED_TOWER_1F)
323,Camerupt,SPECIES_CAMERUPT,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ MT_MORTAR_DEPTHS_1,src/data/wild_encounters.json (MAP_MT_MORTAR_DEPTHS_1)
324,Torkoal,SPECIES_TORKOAL,3,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ MT_MORTAR_DEPTHS_1,src/data/wild_encounters.json (MAP_MT_MORTAR_DEPTHS_1)
325,Spoink,SPECIES_SPOINK,3,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_3_families.h:7408
