EspecieBase,Forma,ConstInterna,Categoria,ExisteNoRepo,Habilitada,ObtivelPermanente,ComoObter/Ativar,TransformacaoDeBatalha,Evidencia
PIKACHU,PIKACHU_ORIGINAL,SPECIES_PIKACHU_ORIGINAL,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3470
PIKACHU,PIKACHU_HOENN,SPECIES_PIKACHU_HOENN,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3529
PIKACHU,PIKACHU_SINNOH,SPECIES_PIKACHU_SINNOH,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3587
PIKACHU,PIKACHU_UNOVA,SPECIES_PIKACHU_UNOVA,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3645
PIKACHU,PIKACHU_KALOS,SPECIES_PIKACHU_KALOS,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3703
PIKACHU,PIKACHU_ALOLA,SPECIES_PIKACHU_ALOLA,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3761
PIKACHU,PIKACHU_PARTNER,SPECIES_PIKACHU_PARTNER,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3819
PIKACHU,PIKACHU_WORLD,SPECIES_PIKACHU_WORLD,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:3878
PICHU,PICHU_SPIKY_EARED,SPECIES_PICHU_SPIKY_EARED,Alternativa/cosmética/batalha,Sim,Sim,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_1_families.h:2963
UNOWN,UNOWN_B,SPECIES_UNOWN_B,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4322
UNOWN,UNOWN_C,SPECIES_UNOWN_C,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4323
UNOWN,UNOWN_D,SPECIES_UNOWN_D,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4324
UNOWN,UNOWN_E,SPECIES_UNOWN_E,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4325
UNOWN,UNOWN_F,SPECIES_UNOWN_F,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4326
UNOWN,UNOWN_G,SPECIES_UNOWN_G,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4327
UNOWN,UNOWN_H,SPECIES_UNOWN_H,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4328
UNOWN,UNOWN_I,SPECIES_UNOWN_I,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4329
UNOWN,UNOWN_J,SPECIES_UNOWN_J,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4330
UNOWN,UNOWN_K,SPECIES_UNOWN_K,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4331
UNOWN,UNOWN_L,SPECIES_UNOWN_L,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4332
UNOWN,UNOWN_M,SPECIES_UNOWN_M,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4333
UNOWN,UNOWN_N,SPECIES_UNOWN_N,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4334
UNOWN,UNOWN_O,SPECIES_UNOWN_O,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4335
UNOWN,UNOWN_P,SPECIES_UNOWN_P,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4336
UNOWN,UNOWN_Q,SPECIES_UNOWN_Q,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4337
UNOWN,UNOWN_R,SPECIES_UNOWN_R,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4338
UNOWN,UNOWN_S,SPECIES_UNOWN_S,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4339
UNOWN,UNOWN_T,SPECIES_UNOWN_T,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4340
UNOWN,UNOWN_U,SPECIES_UNOWN_U,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4341
UNOWN,UNOWN_V,SPECIES_UNOWN_V,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4342
UNOWN,UNOWN_W,SPECIES_UNOWN_W,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4343
UNOWN,UNOWN_X,SPECIES_UNOWN_X,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4344
UNOWN,UNOWN_Y,SPECIES_UNOWN_Y,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4345
UNOWN,UNOWN_Z,SPECIES_UNOWN_Z,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4346
UNOWN,UNOWN_EXCLAMATION,SPECIES_UNOWN_EXCLAMATION,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4347
UNOWN,UNOWN_QUESTION,SPECIES_UNOWN_QUESTION,Alternativa/cosmética/batalha,Sim,Sim,Sim,"Letra definida pela personality do Unown selvagem (GetUnownSpeciesId, src/pokemon.c:2018); Unown selvagem em Ruins of Alph B1F (src/data/wild_encounters.json, gRuinsOfAlph_1)",,src/data/pokemon/species_info/gen_2_families.h:4348
CASTFORM_NORMAL,CASTFORM_SUNNY,SPECIES_CASTFORM_SUNNY,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_3_families.h:9675
CASTFORM_NORMAL,CASTFORM_RAINY,SPECIES_CASTFORM_RAINY,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_3_families.h:9759
CASTFORM_NORMAL,CASTFORM_SNOWY,SPECIES_CASTFORM_SNOWY,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_3_families.h:9841
DEOXYS_NORMAL,DEOXYS_ATTACK,SPECIES_DEOXYS_ATTACK,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_METEORITE): FORM_CHANGE_ITEM_USE, SPECIES_DEOXYS_ATTACK, ITEM_METEORITE",,src/data/pokemon/species_info/gen_3_families.h:13931
DEOXYS_NORMAL,DEOXYS_DEFENSE,SPECIES_DEOXYS_DEFENSE,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_METEORITE): FORM_CHANGE_ITEM_USE, SPECIES_DEOXYS_DEFENSE, ITEM_METEORITE",,src/data/pokemon/species_info/gen_3_families.h:14012
DEOXYS_NORMAL,DEOXYS_SPEED,SPECIES_DEOXYS_SPEED,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_METEORITE): FORM_CHANGE_ITEM_USE, SPECIES_DEOXYS_SPEED, ITEM_METEORITE",,src/data/pokemon/species_info/gen_3_families.h:14094
BURMY_PLANT,BURMY_SANDY,SPECIES_BURMY_SANDY,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_4_families.h:1997
BURMY_PLANT,BURMY_TRASH,SPECIES_BURMY_TRASH,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_4_families.h:2068
WORMADAM_PLANT,WORMADAM_SANDY,SPECIES_WORMADAM_SANDY,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_4_families.h:2207
WORMADAM_PLANT,WORMADAM_TRASH,SPECIES_WORMADAM_TRASH,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_4_families.h:2275
CHERRIM_OVERCAST,CHERRIM_SUNSHINE,SPECIES_CHERRIM_SUNSHINE,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_4_families.h:2992
SHELLOS_WEST,SHELLOS_EAST,SPECIES_SHELLOS_EAST,Alternativa/cosmética/batalha,Sim,Sim,Sim,Encontro selvagem @ ROUTE33SOUTH_2 [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_4_families.h:3137
GASTRODON_WEST,GASTRODON_EAST,SPECIES_GASTRODON_EAST,Alternativa/cosmética/batalha,Sim,Sim,Sim,Encontro selvagem @ ROUTE33SOUTH [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_4_families.h:3271
ROTOM,ROTOM_HEAT,SPECIES_ROTOM_HEAT,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_MOVE, SPECIES_ROTOM_HEAT, MOVE_OVERHEAT, WHEN_LEARNED",,src/data/pokemon/species_info/gen_4_families.h:6098
ROTOM,ROTOM_WASH,SPECIES_ROTOM_WASH,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_MOVE, SPECIES_ROTOM_WASH, MOVE_HYDRO_PUMP, WHEN_LEARNED",,src/data/pokemon/species_info/gen_4_families.h:6175
ROTOM,ROTOM_FROST,SPECIES_ROTOM_FROST,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_MOVE, SPECIES_ROTOM_FROST, MOVE_BLIZZARD, WHEN_LEARNED",,src/data/pokemon/species_info/gen_4_families.h:6253
ROTOM,ROTOM_FAN,SPECIES_ROTOM_FAN,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_MOVE, SPECIES_ROTOM_FAN, MOVE_AIR_SLASH, WHEN_LEARNED",,src/data/pokemon/species_info/gen_4_families.h:6329
ROTOM,ROTOM_MOW,SPECIES_ROTOM_MOW,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_MOVE, SPECIES_ROTOM_MOW, MOVE_LEAF_STORM, WHEN_LEARNED",,src/data/pokemon/species_info/gen_4_families.h:6430
DIALGA,DIALGA_ORIGIN,SPECIES_DIALGA_ORIGIN,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_ADAMANT_CRYSTAL): FORM_CHANGE_ITEM_HOLD, SPECIES_DIALGA_ORIGIN, ITEM_ADAMANT_CRYSTAL",,src/data/pokemon/species_info/gen_4_families.h:6839
PALKIA,PALKIA_ORIGIN,SPECIES_PALKIA_ORIGIN,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_LUSTROUS_GLOBE): FORM_CHANGE_ITEM_HOLD, SPECIES_PALKIA_ORIGIN, ITEM_LUSTROUS_GLOBE",,src/data/pokemon/species_info/gen_4_families.h:7065
GIRATINA_ALTERED,GIRATINA_ORIGIN,SPECIES_GIRATINA_ORIGIN,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_ITEM_HOLD, SPECIES_GIRATINA_ORIGIN, ITEM_GRISEOUS_ORB",,src/data/pokemon/species_info/gen_4_families.h:7446
SHAYMIN_LAND,SHAYMIN_SKY,SPECIES_SHAYMIN_SKY,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_ITEM_USE, SPECIES_SHAYMIN_SKY, ITEM_GRACIDEA",,src/data/pokemon/species_info/gen_4_families.h:8011
ARCEUS_NORMAL,ARCEUS_FIGHTING,SPECIES_ARCEUS_FIGHTING,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_FIST_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_FIGHTING, ITEM_FIST_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8179
ARCEUS_NORMAL,ARCEUS_FLYING,SPECIES_ARCEUS_FLYING,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_SKY_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_FLYING, ITEM_SKY_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8180
ARCEUS_NORMAL,ARCEUS_POISON,SPECIES_ARCEUS_POISON,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_TOXIC_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_POISON, ITEM_TOXIC_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8181
ARCEUS_NORMAL,ARCEUS_GROUND,SPECIES_ARCEUS_GROUND,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_EARTH_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_GROUND, ITEM_EARTH_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8182
ARCEUS_NORMAL,ARCEUS_ROCK,SPECIES_ARCEUS_ROCK,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_STONE_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_ROCK, ITEM_STONE_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8183
ARCEUS_NORMAL,ARCEUS_BUG,SPECIES_ARCEUS_BUG,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_INSECT_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_BUG, ITEM_INSECT_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8184
ARCEUS_NORMAL,ARCEUS_GHOST,SPECIES_ARCEUS_GHOST,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_SPOOKY_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_GHOST, ITEM_SPOOKY_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8185
ARCEUS_NORMAL,ARCEUS_STEEL,SPECIES_ARCEUS_STEEL,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_IRON_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_STEEL, ITEM_IRON_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8186
ARCEUS_NORMAL,ARCEUS_FIRE,SPECIES_ARCEUS_FIRE,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_FLAME_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_FIRE, ITEM_FLAME_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8187
ARCEUS_NORMAL,ARCEUS_WATER,SPECIES_ARCEUS_WATER,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_SPLASH_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_WATER, ITEM_SPLASH_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8188
ARCEUS_NORMAL,ARCEUS_GRASS,SPECIES_ARCEUS_GRASS,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_MEADOW_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_GRASS, ITEM_MEADOW_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8189
ARCEUS_NORMAL,ARCEUS_ELECTRIC,SPECIES_ARCEUS_ELECTRIC,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_ZAP_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_ELECTRIC, ITEM_ZAP_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8190
ARCEUS_NORMAL,ARCEUS_PSYCHIC,SPECIES_ARCEUS_PSYCHIC,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_MIND_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_PSYCHIC, ITEM_MIND_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8191
ARCEUS_NORMAL,ARCEUS_ICE,SPECIES_ARCEUS_ICE,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_ICICLE_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_ICE, ITEM_ICICLE_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8192
ARCEUS_NORMAL,ARCEUS_DRAGON,SPECIES_ARCEUS_DRAGON,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_DRACO_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_DRAGON, ITEM_DRACO_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8193
ARCEUS_NORMAL,ARCEUS_DARK,SPECIES_ARCEUS_DARK,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_DREAD_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_DARK, ITEM_DREAD_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8194
ARCEUS_NORMAL,ARCEUS_FAIRY,SPECIES_ARCEUS_FAIRY,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_PIXIE_PLATE): FORM_CHANGE_ITEM_HOLD, SPECIES_ARCEUS_FAIRY, ITEM_PIXIE_PLATE, ABILITY_MULTITYPE",,src/data/pokemon/species_info/gen_4_families.h:8195
BASCULIN_RED_STRIPED,BASCULIN_BLUE_STRIPED,SPECIES_BASCULIN_BLUE_STRIPED,Alternativa/cosmética/batalha,Sim,Sim,Sim,Encontro selvagem @ ROUTE32 [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_5_families.h:4657
BASCULIN_RED_STRIPED,BASCULIN_WHITE_STRIPED,SPECIES_BASCULIN_WHITE_STRIPED,Alternativa/cosmética/batalha,Sim,Sim,Sim,Encontro selvagem @ WHIRL_ISLANDS_B1F [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_5_families.h:4727
DARMANITAN_STANDARD,DARMANITAN_ZEN,SPECIES_DARMANITAN_ZEN,Alternativa/cosmética/batalha,Sim,Sim,Não,HP baixo em batalha,HP baixo em batalha,src/data/pokemon/species_info/gen_5_families.h:5300
DARMANITAN_STANDARD,DARMANITAN_GALAR_ZEN,SPECIES_DARMANITAN_GALAR_ZEN,Regional (Galar),Sim,Sim,Não,HP baixo em batalha,HP baixo em batalha,src/data/pokemon/species_info/gen_5_families.h:5498
DEERLING_SPRING,DEERLING_SUMMER,SPECIES_DEERLING_SUMMER,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_5_families.h:8183
DEERLING_SPRING,DEERLING_AUTUMN,SPECIES_DEERLING_AUTUMN,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_5_families.h:8250
DEERLING_SPRING,DEERLING_WINTER,SPECIES_DEERLING_WINTER,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_5_families.h:8317
SAWSBUCK_SPRING,SAWSBUCK_SUMMER,SPECIES_SAWSBUCK_SUMMER,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_5_families.h:8449
SAWSBUCK_SPRING,SAWSBUCK_AUTUMN,SPECIES_SAWSBUCK_AUTUMN,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_5_families.h:8514
SAWSBUCK_SPRING,SAWSBUCK_WINTER,SPECIES_SAWSBUCK_WINTER,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_5_families.h:8579
TORNADUS_INCARNATE,TORNADUS_THERIAN,SPECIES_TORNADUS_THERIAN,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_ITEM_USE, SPECIES_TORNADUS_THERIAN, ITEM_REVEAL_GLASS",,src/data/pokemon/species_info/gen_5_families.h:13158
THUNDURUS_INCARNATE,THUNDURUS_THERIAN,SPECIES_THUNDURUS_THERIAN,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_ITEM_USE, SPECIES_THUNDURUS_THERIAN, ITEM_REVEAL_GLASS",,src/data/pokemon/species_info/gen_5_families.h:13328
LANDORUS_INCARNATE,LANDORUS_THERIAN,SPECIES_LANDORUS_THERIAN,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_ITEM_USE, SPECIES_LANDORUS_THERIAN, ITEM_REVEAL_GLASS",,src/data/pokemon/species_info/gen_5_families.h:13656
ENAMORUS_INCARNATE,ENAMORUS_THERIAN,SPECIES_ENAMORUS_THERIAN,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_ITEM_USE, SPECIES_ENAMORUS_THERIAN, ITEM_REVEAL_GLASS",,src/data/pokemon/species_info/gen_8_families.h:8485
KYUREM,KYUREM_WHITE,SPECIES_KYUREM_WHITE,Alternativa/cosmética/batalha,Sim,Sim,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_5_families.h:13811
KYUREM,KYUREM_BLACK,SPECIES_KYUREM_BLACK,Alternativa/cosmética/batalha,Sim,Sim,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_5_families.h:13885
KELDEO_ORDINARY,KELDEO_RESOLUTE,SPECIES_KELDEO_RESOLUTE,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_MOVE, SPECIES_KELDEO_RESOLUTE, MOVE_SECRET_SWORD, WHEN_LEARNED",,src/data/pokemon/species_info/gen_5_families.h:14035
