Categoria,Familia_ou_sistema,Asset,Arquivo,Simbolo,Tamanho_na_ROM,Duplicado_com,Estado,Uso_real,Otimizacao_proposta,Economia_estimada,Risco,Validacao_necessaria
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Necrozma (+Ultra/Dawn Wings/Dusk Mane) (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Necrozma)",76156,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",76156,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Zacian (2 formas) (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Zacian)",44154,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",44154,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Zamazenta (2 formas) (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Zamazenta)",43070,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",43070,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Eternatus (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Eternatus)",50902,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",50902,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Regieleki (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Regieleki)",13468,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",13468,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Regidrago (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Regidrago)",14404,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",14404,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Glastrier (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Glastrier)",23450,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",23450,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Spectrier (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Spectrier)",23054,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",23054,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Calyrex (+Ice/Shadow Rider) (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Calyrex)",72918,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",72918,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Terapagos (3 formas) (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Terapagos)",23952,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",23952,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo,Todos os assets compilados de Pecharunt (front/back/paletas/icone/cry/follower),src/data/pokemon/species_info/gen_*_families.h; graphics/pokemon/*,"gMonFrontPic_*, gMonBackPic_*, gMonPalette_*, gMonIcon_*, Cry_* (prefixo Pecharunt)",16524,,POSSIVELMENTE_NAO_USADO,"P_FAMILY_* = TRUE (especie compilada e presente na Pokedex configurada), mas SEM nenhum encontro/script/presente/evolucao que a entregue ao jogador nesta build - confirmado por docs/POKEMON_AVAILABILITY_AUDIT.md (mesma commit 692c07c), secao de 24 slots de Pokedex sem fonte","Decisao de design, nao bug tecnico: (a) implementar uma rota de obtencao (eventos/presentes/scripts), ou (b) desabilitar P_FAMILY_* para recuperar o espaco integralmente",16524,MEDIO,"MEDIDO (nm em Soulgold.elf) (nm, prefixo do nome); cruzado com docs/POKEMON_AVAILABILITY_AUDIT.md e docs/POKEMON_AVAILABILITY_SPECIES.csv (colunas Habilitada=Sim, Obtivel=Nao) gerados na mesma commit"
Especie inatingivel,Lendarios/miticos habilitados sem fonte no jogo (TOTAL),Soma de todas as 24 entradas acima,-,-,716399,,POSSIVELMENTE_NAO_USADO,Ver linhas individuais acima,Ver linhas individuais acima; e o maior bloco unico de conteudo comprovadamente inacessivel encontrado nesta auditoria,716399,MEDIO,"MEDIDO (nm em Soulgold.elf); 2,19% da ROM total"
Especie inatingivel,Gigantamax (14 de 17 formas travadas),Assets de formas G-Max cujo gatilho (FORM_CHANGE_BATTLE_GIGANTAMAX) e inalcancavel,src/data/graphics/pokemon.h (subpastas gmax/),"gMonFrontPic_*Gmax*, gMonBackPic_*Gmax* etc (parcial)",77000,,POSSIVELMENTE_NAO_USADO,"Dynamax/Gigantamax esta 'desligado de fato': B_FLAG_DYNAMAX_BATTLE=0 e ITEM_DYNAMAX_BAND nao e distribuido (confirmado em docs/POKEMON_AVAILABILITY_AUDIT.md); EXCETO Butterfree-GMAX e as 2 formas de Toxtricity-GMAX, que foram religadas como gatilho de Mega Evolution e continuam acessiveis","Mesma decisao de design das lendarias: implementar distribuicao do item Dynamax Band + flag de batalha, ou desabilitar as 14 formas G-Max ainda travadas",77000,MEDIO,"CALCULADO (amostra/extrapolacao, ver metodologia no resumo): total medido de todos os simbolos Gigantamax e 94.219B (235 simbolos) para ~17 formas; proporcao 14/17 aplicada para estimar a fatia INACESSIVEL. Precisa de passe manual casando cada gSpeciesInfo de forma Gmax com sua condicao de FORM_CHANGE para valor exato por especie"
Feature ja otimizada,Config de graficos overworld,OW_GFX_COMPRESS=TRUE (comprime overworld/follower),include/config/overworld.h:56,(afeta todos os gObjectEventPic_*),1677488,,NECESSARIO,"Flag ja habilitada nesta arvore de trabalho (estava FALSE no commit HEAD, alterada localmente)",Manter TRUE - NAO reverter para FALSE,5880000,BAIXO,"CALCULADO (amostra/extrapolacao, ver metodologia no resumo): comparando pares reais .4bpp (cru) vs .4bpp.smol (comprimido) ja existentes em disco para 1026 especies, a razao media de compressao e 22,2% (763.148B comprimidos para 3.437.568B crus). Aplicando essa razao ao total comprimido hoje linkado (1.677.488B), o equivalente SEM compressao custaria ~7,56MB - ou seja, a flag ja esta economizando aproximadamente 5,88MB (17,9% da ROM inteira). Reverter essa flag para FALSE estouraria a ROM."
Feature ja otimizada,Cries de Mega Evolution,P_MODIFIED_MEGA_CRIES=FALSE,include/config/pokemon.h:82,Cry_*Mega* (nao existem no ELF),0,,NECESSARIO,Flag ja no valor econimico; comentario do proprio arquivo estima 3% de ROM se fosse TRUE,Manter FALSE,1000000,BAIXO,"MEDIDO (nm em Soulgold.elf): confirmado 0 simbolos Cry_*Mega* no nm_sorted.txt; os arquivos .bin de mega cry em sound/direct_sound_samples/cries/*_mega*.bin sao so peso de repositorio git, nao entram na ROM"
Feature ja otimizada,Formas battle-only no overworld,"OW_BATTLE_ONLY_FORMS=FALSE (alterado localmente, era TRUE no commit HEAD)",include/config/overworld.h:65,gObjectEventPic_*Mega/*Gmax (0 encontrados),0,,NECESSARIO,"Confirmado: nenhum sprite overworld/seguidor de Mega ou Gigantamax genuino esta linkado na ROM atual (0 ocorrencias reais; os 2 falsos-positivos do grep foram Meganium/Megastone/LugiaMegaZ, que nao sao Megas)",Nenhuma - o gating em src/data/graphics/pokemon.h (#if OW_POKEMON_OBJECT_EVENTS && OW_BATTLE_ONLY_FORMS) esta funcionando corretamente,0,BAIXO,"MEDIDO (nm em Soulgold.elf); valida que a mudanca feita na arvore de trabalho local esta de fato excluindo os assets, sem vazamento"
Feature especial,"Shadow Lugia (custom, nomeado 'LugiaMegaZ' no codigo)",Forma de historia sempre compilada (nao gateada por OW_BATTLE_ONLY_FORMS),graphics/pokemon/lugia_shadow/*,gMonFrontPic_LugiaMegaZ e demais assets completos (front/back/paleta/icone/footprint/overworld),26000,,REQUER_INVESTIGACAO,"Apesar do sufixo 'MegaZ' sugerir Mega Evolution, os arquivos-fonte vivem em graphics/pokemon/lugia_shadow/ - parece ser uma forma de historia/eventos (referencia a Pokemon XD: Gale of Darkness), por isso nao e gateada pela flag de formas battle-only","Confirmar em scripts/mapas se essa forma e realmente usada em algum evento; se nao houver referencia, e candidata a POSSIVELMENTE_NAO_USADO",0,BAIXO,REQUER_INVESTIGACAO: nao foi verificado se ha script/mapa que instancia SPECIES_LUGIA_MEGA_Z ou equivalente
Feature especial,Ultra Beasts / Treasures of Ruin desabilitados,Confirmacao: familias com P_FAMILY_X=FALSE NAO vazam assets para a ROM,"include/config/species_enabled.h (14 familias ainda FALSE: TYPE_NULL, NIHILEGO, BUZZWOLE, PHEROMOSA, XURKITREE, CELESTEELA, KARTANA, GUZZLORD, STAKATAKA, BLACEPHALON, WO_CHIEN, TING_LU, OKIDOGI, MUNKIDORI)",-,0,,NECESSARIO,"Confirmado por busca no nm: 0 ocorrencias de simbolos dessas especies no ELF final, exceto uma sobra de 408B (ver linha abaixo)",Nenhuma acao necessaria - o par LTO + --gc-sections ja remove corretamente os assets de especies desabilitadas,0,BAIXO,"MEDIDO (nm em Soulgold.elf); testado individualmente para as 14 familias, greppando cada nome no nm_sorted.txt"
Animacao de batalha,Blacephalon (familia desabilitada),"Sprite de golpe orfao: cabeca de Blacephalon usada como projetil/particula de algum golpe, mesmo com a especie desligada",graphics/battle_anims/*,"gBattleAnimSpritePal_BlacephalonHead, gBattleAnimSpriteGfx_BlacephalonHead",408,,POSSIVELMENTE_NAO_USADO,Nao esta claro qual golpe referencia esse asset ja que a especie Blacephalon esta desligada,"Impacto irrisorio (408B); nao prioritario, mas serve de exemplo de que assets de batalha podem sobreviver a desabilitacao de uma especie via referencia cruzada de outro sistema (efeito de golpe)",408,BAIXO,MEDIDO (nm em Soulgold.elf); achado incidental durante a verificacao de especies desabilitadas
Formas especiais,Furfrou (10 trims/cortes),Total de todos os 10 trims (front+back+icone+paletas+follower+cry compartilhado),graphics/pokemon/furfrou/*,"gMon*Pic_Furfrou*, gObjectEventPic_Furfrou*",,,FORMA_COSMETICA,"10 cortes de pelo canonicamente distintos, cada um com arte propria",Nenhuma - confirmado por md5sum que os 10 icones e os 10 back sprites sao todos BINARIAMENTE UNICOS entre si (nenhuma duplicata acidental encontrada),0,BAIXO,"MEDIDO (nm em Soulgold.elf) (nm) + md5sum (icon.4bpp e back.4bpp de 9 dos 10 trims comparados par-a-par, 0 colisoes)"
Formas especiais,Scatterbug/Spewpa/Vivillon (20 padroes),Total de todos os 20 padroes regionais de Vivillon + Scatterbug + Spewpa,"graphics/pokemon/vivillon_*/*, graphics/pokemon/scatterbug/*, graphics/pokemon/spewpa/*",gMon*Pic_Vivillon*,122985,,FORMA_COSMETICA,"20 padroes de asa canonicamente distintos (Icy Snow, Polar, Tundra, Continental, Garden, Elegant, Meadow, Modern, Marine, Archipelago, High Plains, Sandstorm, River, Monsoon, Savanna, Sun, Ocean, Jungle, Fancy, Poke Ball)","Nenhuma - tamanhos de front/back de cada padrao sao todos diferentes entre si (verificado nm), consistente com arte genuinamente distinta por padrao",0,BAIXO,"MEDIDO (nm em Soulgold.elf); 220 simbolos no total (0,375% da ROM)"
Formas especiais,Deerling (4 formas sazonais),Front/back COMPARTILHADOS entre as 4 estacoes (so a paleta muda) - correto,graphics/pokemon/deerling/*,"gMonFrontPic_Deerling, gMonBackPic_Deerling (unicos, sem sufixo de estacao)",952,,NECESSARIO,"So existe front/back UNICO (nao um por estacao) - a diferenciacao sazonal e feita 100% por paleta, exatamente como no jogo oficial",Nenhuma - ja esta no formato otimo,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Formas especiais,Deerling (4 formas sazonais) - follower/overworld,4 arquivos-fonte distintos (spring/summer/autumn/winter) que comprimem para bytes IDENTICOS,"graphics/pokemon/deerling/overworld.4bpp, deerling/summer/overworld.4bpp, deerling/autumn/overworld.4bpp, deerling/winter/overworld.4bpp",gObjectEventPic_DeerlingSpring/Summer/Autumn/Winter,2032,gObjectEventPic_DeerlingSpring (mantido como base),IDENTICO_COMPARTILHAVEL,"Os 4 arquivos-fonte 'overworld.4bpp' das 4 pastas de estacao sao BYTE-A-BYTE IDENTICOS (mesmo md5 9361e793e4bd6c95cfd5f3abc8f8c0a9 nos 4), apesar de existirem como 4 arquivos fisicos separados e serem compilados como 4 simbolos separados (508B cada) - so as paletes overworld_normal.gbapal/overworld_shiny.gbapal diferem de fato entre as estacoes","Apontar os 4 simbolos gObjectEventPic_Deerling{Summer,Autumn,Winter} para o mesmo array/simbolo que gObjectEventPic_DeerlingSpring (so a paleta muda por estacao); redirecionamento de ponteiro, SEM mudanca visual",1524,BAIXO,CONFIRMADO por md5sum direto nos 4 arquivos-fonte overworld.4bpp (antes e depois de comprimir) + tamanho identico de simbolo no nm (508B cada); risco baixissimo pois a saida visual e identica hoje
Formas especiais,Sawsbuck (4 formas sazonais),"Front/back/follower DISTINTOS por estacao (correto, arte genuinamente diferente)","graphics/pokemon/sawsbuck/*, sawsbuck/summer/*, sawsbuck/autumn/*, sawsbuck/winter/*","gMonFrontPic_Sawsbuck{Spring,Summer,Autumn,Winter}",,,FORMA_COSMETICA,Confirmado por md5sum: os 4 arquivos overworld.4bpp de Sawsbuck tem hashes DIFERENTES entre si (ao contrario de Deerling) - a arte de galhada muda de fato por estacao,"Nenhuma - NAO compartilhar, sao visualmente diferentes",0,BAIXO,MEDIDO (nm em Soulgold.elf) + md5sum (4 hashes distintos confirmados)
Formas especiais,Minior (Meteor + 7 Core),Front/back COMPARTILHADOS entre Meteor e as 7 cores Core - ja otimizado,"graphics/pokemon/minior/*, minior/core/*","gMonFrontPic_MiniorCore, gMonBackPic_MiniorCore (um unico simbolo para as 7 cores)",22600,,NECESSARIO,Ja implementado da forma mais eficiente possivel: 1 front pic + 1 back pic compartilhados por todas as 7 cores Core; so icone (7x1024B) e paleta normal (7x32B) variam por cor; paleta shiny e follower sao compartilhados entre todas as cores tambem,Nenhuma - este e o padrao-ouro de como tratar variantes de cor pura; nenhuma acao necessaria,0,BAIXO,"MEDIDO (nm em Soulgold.elf); confirmado que so existe gMonFrontPic_MiniorCore (sem sufixo de cor) e gMonIcon_MiniorCore{Red,Orange,Yellow,Green,Blue,Indigo,Violet} (7 icones), sem gObjectEventPic_MiniorCore* (formas Core nao tem sprite de seguidor proprio)"
Formas especiais,Pumpkaboo/Gourgeist (4 tamanhos x 2 especies),"8 combinacoes, todas com front/back/follower de tamanho distinto entre si","graphics/pokemon/pumpkaboo*/*, gourgeist*/*","gMon*Pic_{Pumpkaboo,Gourgeist}{Small,Average,Large,Super}",59604,,FORMA_COSMETICA,"Cada uma das 8 combinacoes tem tamanho de simbolo diferente (nenhum par identico), consistente com arte genuinamente distinta por tamanho de abobora",Nenhuma - nao ha duplicata detectada,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Formas especiais,Mega Evolutions (todas),Total de front/back/icone/paleta/cry de todas as formas Mega habilitadas,graphics/pokemon/*/mega/*,gMon*Pic_*Mega*,209220,,FORMA_COSMETICA,112 Megas ativaveis em batalha via megapedra (confirmado em docs/POKEMON_AVAILABILITY_AUDIT.md),Nenhuma - formas visualmente distintas por definicao,0,BAIXO,MEDIDO (nm em Soulgold.elf); overworld/follower dessas formas confirmado como 0B (ver linha OW_BATTLE_ONLY_FORMS acima)
Formas especiais,Diferencas de genero (sufixo F),Total de front/back de todas as especies com sprite de femea distinto,graphics/pokemon/*/*f.4bpp*,"gMonFrontPic_*F, gMonBackPic_*F",178000,,FORMA_COSMETICA,"Dimorfismo sexual oficial (ex: Venusaur, Pikachu, Meowstic, etc) - 191 simbolos, ~95 pares front+back",Nenhuma - visualmente diferentes por definicao oficial da franquia,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Hipotese - Cries,Todas as linhas evolutivas habilitadas,Reaproveitar o cry do estagio final para os estagios pre-evolutivos da mesma linha,sound/cry_tables.inc; sound/direct_sound_samples/cries/*.bin,Cry_<especies nao-finais>,2462000,,CRY_REDUNDANTE,"HOJE cada estagio evolutivo tem seu proprio grito distinto - isso e comportamento OFICIAL de todo jogo Pokemon, nao e um bug ou duplicata","PROPOSTA (nao recomendada como primeira opcao): redirecionar o cry de especies nao-finais para o cry de seu estagio final por linha, economizando o espaco das amostras pre-evolutivas. Mudanca de identidade sonora de centenas de especies - precisa de validacao de design antes de qualquer implementacao",2462000,ALTO,"HIPOTESE (nao validada, requer prototipo/playtest): contagem de blocos '.evolutions = EVOLUTION(' em src/data/pokemon/species_info/*.h encontrou 491 de 1577 entradas de especie/forma com pelo menos um alvo de evolucao (31,1%). Aplicando essa proporcao ao numero de cries realmente linkados hoje (1052 simbolos Cry_*, media 7529B cada): 1052 x 0,311 x 7529B = ~2.462.000B. Isto e uma ESTIMATIVA POR PROPORCAO, nao uma contagem especie-a-especie (nao foi construida a arvore de evolucao completa por restricao de tempo); o numero real pode divergir significativamente. NAO CONFUNDIR com economia comprovada."
Formas de cor (paleta),Minior Core (7 cores),Icone: mesma arte de pixel para as 7 cores (so a paleta muda),"graphics/pokemon/minior/core/{blue,green,indigo,orange,red,violet,yellow}/icon.4bpp","gMonIcon_MiniorCore{Blue,Green,Indigo,Orange,Red,Violet,Yellow}",1024,gMonIcon_MiniorCoreRed (mantido como base),IDENTICO_COMPARTILHAVEL,"Os 7 arquivos icon.4bpp das 7 cores sao BYTE-A-BYTE IDENTICOS (md5 4140bfc3...), exatamente como front/back ja fazem para Minior","Apontar os outros 6 simbolos de icone para o mesmo array; redirecionamento de ponteiro, zero mudanca visual (a cor do icone hoje ja vem so da paleta gMonIconPalette_MiniorCore*, nao do 4bpp)",6144,BAIXO,"CONFIRMADO por md5sum direto nos 7 arquivos-fonte icon.4bpp; risco zero, e o mesmo padrao que o projeto ja usa para front/back de Minior"
Formas cosmeticas,Dialga / Dialga-Primal,Icone identico entre forma base e forma Primal (customizada deste hack),"graphics/pokemon/dialga/icon.4bpp, graphics/pokemon/dialga/primal/icon.4bpp","gMonIcon_Dialga, gMonIcon_DialgaPrimal",1024,gMonIcon_Dialga (mantido como base),IDENTICO_COMPARTILHAVEL,"Confirmado por md5sum (hash 47bcad1b...) - o icone da forma Primal e byte-identico ao icone da forma base; DialgaOrigin (a 3a forma) tem icone proprio, corretamente distinto","Redirecionar gMonIcon_DialgaPrimal para gMonIcon_Dialga; verificar antes se a intencao de design e mesmo reaproveitar o icone ou se falta arte propria da forma Primal (o front/back da Primal SAO distintos, entao pode ser so o icone que ficou pendente)",1024,BAIXO,CONFIRMADO por md5sum; validar com o time de arte se e reaproveitamento intencional ou uma arte pendente
Formas de cor (paleta),Squawkabilly (4 cores),Sprite de seguidor/overworld identico entre as 4 cores (so a paleta muda),"graphics/pokemon/squawkabilly/{,blue/,white/,yellow/}overworld.4bpp","gObjectEventPic_Squawkabilly{Blue,Green,White,Yellow}",920,"gObjectEventPic_SquawkabillyGreen (arquivo base, mantido)",IDENTICO_COMPARTILHAVEL,Os 4 arquivos-fonte overworld.4bpp sao byte-identicos (md5 55fcaff5...); a diferenca de cor da plumagem so aparece no front/back (verificado: 0 duplicatas em anim_front.4bpp para Squawkabilly),"Apontar os outros 3 simbolos de overworld para o mesmo array; redirecionamento de ponteiro, zero mudanca visual (paleta overworld ja e por-cor separadamente)",2760,BAIXO,CONFIRMADO por md5sum nos 4 arquivos-fonte + tamanho identico (920B) nos 4 simbolos no nm
Formas de cor (paleta),Floette (5 cores: Red/Blue/Orange/White/Yellow),Sprite de seguidor/overworld identico entre as 5 cores comuns (Eternal Flower e Mega sao corretamente distintos),"graphics/pokemon/floette/{,blue/,orange/,white/,yellow/}overworld.4bpp","gObjectEventPic_Floette{Blue,Orange,Red,White,Yellow}",912,"gObjectEventPic_FloetteRed (arquivo base, mantido)",IDENTICO_COMPARTILHAVEL,Os 5 arquivos-fonte sao byte-identicos (md5 98f1014a...); FloetteEternal (0x484) e FloetteMega (nao listada aqui) tem sprites proprios corretamente distintos,"Apontar os outros 4 simbolos para o mesmo array; redirecionamento de ponteiro, zero mudanca visual",3648,BAIXO,CONFIRMADO por md5sum nos 5 arquivos-fonte + tamanho identico (912B) nos 5 simbolos
